ko:K00064	xop:PXO_03262
ko:K01142	xop:PXO_03249
ko:K07107	xop:PXO_04892
ko:K03701	xop:PXO_04893
ko:K02888	xop:PXO_05533
ko:K02899	xop:PXO_05534
ko:K03979	xop:PXO_00015
ko:K02968	xop:PXO_00014
ko:K03980	xop:PXO_00013
ko:K01870	xop:PXO_05535
ko:K03527	xop:PXO_05537
ko:K02297	xop:PXO_00009
ko:K02298	xop:PXO_00008
ko:K02299	xop:PXO_00007
ko:K02300	xop:PXO_00006
ko:K02410	xop:PXO_00980
ko:K02413	xop:PXO_00977
ko:K02415	xop:PXO_00975
ko:K02416	xop:PXO_00974
ko:K02418	xop:PXO_00972
ko:K02419	xop:PXO_00971
ko:K02420	xop:PXO_00969
ko:K02421	xop:PXO_00968
ko:K02401	xop:PXO_00962
ko:K02400	xop:PXO_00961
ko:K02404	xop:PXO_00959
ko:K04562	xop:PXO_00958
ko:K02405	xop:PXO_00957
ko:K03413	xop:PXO_00956
ko:K03414	xop:PXO_00955
ko:K03407	xop:PXO_00954
ko:K08151	xop:PXO_03308
ko:K09858	xop:PXO_03304
ko:K03501	xop:PXO_03243
ko:K02902	xop:PXO_03240
