ko:K06885	lpt:zj316_0641
ko:K07742	lpt:zj316_2000
ko:K02600	lpt:zj316_2001
ko:K09748	lpt:zj316_2002
ko:K03763	lpt:zj316_2003
ko:K01881	lpt:zj316_2006
ko:K11749	lpt:zj316_2007
ko:K00981	lpt:zj316_2008
ko:K00806	lpt:zj316_2009
ko:K02838	lpt:zj316_2010
ko:K09903	lpt:zj316_2011
ko:K02357	lpt:zj316_2012
ko:K02967	lpt:zj316_2013
ko:K03778	lpt:zj316_2016
ko:K07461	lpt:zj316_2017
ko:K00655	lpt:zj316_2019
ko:K01356	lpt:zj316_2022
ko:K03703	lpt:zj316_2112
ko:K03978	lpt:zj316_2118
ko:K03544	lpt:zj316_2119
ko:K03545	lpt:zj316_2120
ko:K02358	lpt:zj316_2121
ko:K01714	lpt:zj316_2124
ko:K02956	lpt:zj316_2126
ko:K02968	lpt:zj316_2127
ko:K02340	lpt:zj316_2128
ko:K02237	lpt:zj316_2132
ko:K00954	lpt:zj316_2134
ko:K03588	lpt:zj316_2138
ko:K06207	lpt:zj316_2145
ko:K03466	lpt:zj316_2195
ko:K03216	lpt:zj316_2196
ko:K07118	lpt:zj316_2197
ko:K03311	lpt:zj316_2199
ko:K00563	lpt:zj316_2201
ko:K02954	lpt:zj316_2202
ko:K02781	lpt:zj316_2204
ko:K06180	lpt:zj316_2207
ko:K00858	lpt:zj316_2208
ko:K08602	lpt:zj316_2211
ko:K16511	lpt:zj316_2213
ko:K03975	lpt:zj316_2220
ko:K07015	lpt:zj316_1533
ko:K07574	lpt:zj316_1535
ko:K00969	lpt:zj316_1536
ko:K09710	lpt:zj316_1538
ko:K07040	lpt:zj316_1541
ko:K07478	lpt:zj316_1546
ko:K03547	lpt:zj316_1551
ko:K03217	lpt:zj316_1553
ko:K01512	lpt:zj316_1554
ko:K03437	lpt:zj316_1555
ko:K06950	lpt:zj316_1556
ko:K01889	lpt:zj316_1558
ko:K01890	lpt:zj316_1559
ko:K07082	lpt:zj316_1560
ko:K00876	lpt:zj316_1561
ko:K03624	lpt:zj316_1562
ko:K05995	lpt:zj316_1572
ko:K01126	lpt:zj316_1575
ko:K00791	lpt:zj316_1576
ko:K01915	lpt:zj316_1578
ko:K03797	lpt:zj316_1843
ko:K15738	lpt:zj316_1850
ko:K00215	lpt:zj316_1853
ko:K03530	lpt:zj316_1857
ko:K03977	lpt:zj316_1858
ko:K02945	lpt:zj316_1859
ko:K00945	lpt:zj316_1860
ko:K03654	lpt:zj316_1862
ko:K06178	lpt:zj316_1865
ko:K06024	lpt:zj316_1866
ko:K05896	lpt:zj316_1867
ko:K02859	lpt:zj316_1868
ko:K00243	lpt:zj316_1870
ko:K00873	lpt:zj316_1872
ko:K00850	lpt:zj316_1873
ko:K02337	lpt:zj316_1874
ko:K03695	lpt:zj316_1877
ko:K06967	lpt:zj316_1880
ko:K01937	lpt:zj316_0646
ko:K01875	lpt:zj316_0647
ko:K03837	lpt:zj316_0648
ko:K01752	lpt:zj316_0650
ko:K01752	lpt:zj316_0651
ko:K00790	lpt:zj316_0654
ko:K03628	lpt:zj316_0655
ko:K02909	lpt:zj316_0656
ko:K03744	lpt:zj316_0659
ko:K03799	lpt:zj316_0660
ko:K01929	lpt:zj316_0662
ko:K05592	lpt:zj316_0663
ko:K00997	lpt:zj316_0665
ko:K01775	lpt:zj316_0666
ko:K03549	lpt:zj316_0668
ko:K01955	lpt:zj316_0673
ko:K01956	lpt:zj316_0674
ko:K00145	lpt:zj316_0675
ko:K00620	lpt:zj316_0676
ko:K00930	lpt:zj316_0677
ko:K00611	lpt:zj316_0679
ko:K01056	lpt:zj316_0684
ko:K03723	lpt:zj316_0685
ko:K07571	lpt:zj316_0689
ko:K04075	lpt:zj316_0690
ko:K00760	lpt:zj316_0691
ko:K03798	lpt:zj316_0692
ko:K04083	lpt:zj316_0693
ko:K04567	lpt:zj316_0695
ko:K03305	lpt:zj316_0697
ko:K00286	lpt:zj316_0706
ko:K01443	lpt:zj316_0707
ko:K03710	lpt:zj316_0708
ko:K05946	lpt:zj316_0709
ko:K00763	lpt:zj316_0710
ko:K06959	lpt:zj316_0714
ko:K00003	lpt:zj316_0716
ko:K00872	lpt:zj316_0717
ko:K00648	lpt:zj316_0726
ko:K02160	lpt:zj316_0727
ko:K01961	lpt:zj316_0728
ko:K01963	lpt:zj316_0729
ko:K01962	lpt:zj316_0730
ko:K07088	lpt:zj316_0732
ko:K01807	lpt:zj316_0737
ko:K06975	lpt:zj316_0738
ko:K04485	lpt:zj316_0741
ko:K01883	lpt:zj316_0744
ko:K11145	lpt:zj316_0745
ko:K03218	lpt:zj316_0746
ko:K06962	lpt:zj316_0747
ko:K03091	lpt:zj316_0748
ko:K02913	lpt:zj316_0749
ko:K03073	lpt:zj316_0750
ko:K02601	lpt:zj316_0751
ko:K02867	lpt:zj316_0753
ko:K02863	lpt:zj316_0754
ko:K02864	lpt:zj316_0755
ko:K02935	lpt:zj316_0756
ko:K14205	lpt:zj316_0759
ko:K06966	lpt:zj316_0761
