ko:K03834	ctlj:L1115_00871
ko:K06890	ctlj:L1115_00872
ko:K03110	ctlj:L1115_00873
ko:K01903	ctlj:L1115_00874
ko:K01902	ctlj:L1115_00875
ko:K09760	ctlj:L1115_00878
ko:K00075	ctlj:L1115_00884
ko:K02520	ctlj:L1115_00886
ko:K02916	ctlj:L1115_00887
ko:K02887	ctlj:L1115_00888
ko:K01889	ctlj:L1115_00889
ko:K11720	ctlj:L1115_00892
ko:K14233	ctlj:L1115_00890
ko:K11645	ctlj:L1115_00218
ko:K01214	ctlj:L1115_00044
ko:K03559	ctlj:L1115_00626
ko:K02028	ctlj:L1115_00132
ko:K15035	ctlj:L1115_00020
ko:K14222	ctlj:L1115_00804
ko:K14220	ctlj:L1115_00039
ko:K01985	ctlj:L1115_00784
ko:K01985	ctlj:L1115_00797
ko:K01980	ctlj:L1115_00783
ko:K01980	ctlj:L1115_00796
ko:K17103	ctlj:L1115_00879
ko:K14228	ctlj:L1115_00486
ko:K14233	ctlj:L1115_00522
ko:K14219	ctlj:L1115_00633
ko:K04084	ctlj:L1115_00624
ko:K14227	ctlj:L1115_00180
ko:K14218	ctlj:L1115_00669
ko:K14230	ctlj:L1115_00209
ko:K14230	ctlj:L1115_00336
ko:K14235	ctlj:L1115_00328
ko:K14233	ctlj:L1115_00369
ko:K14231	ctlj:L1115_00437
ko:K14221	ctlj:L1115_00225
ko:K14233	ctlj:L1115_00430
ko:K14228	ctlj:L1115_00530
ko:K14228	ctlj:L1115_00566
ko:K14219	ctlj:L1115_00490
ko:K14219	ctlj:L1115_00690
ko:K14232	ctlj:L1115_00663
ko:K14229	ctlj:L1115_00713
ko:K14224	ctlj:L1115_00714
ko:K14226	ctlj:L1115_00781
ko:K14223	ctlj:L1115_00847
ko:K14218	ctlj:L1115_00181
ko:K14234	ctlj:L1115_00710
ko:K14225	ctlj:L1115_00719
ko:K14228	ctlj:L1115_00494
ko:K14228	ctlj:L1115_00921
ko:K14232	ctlj:L1115_00062
ko:K14237	ctlj:L1115_00226
ko:K14230	ctlj:L1115_00210
ko:K01977	ctlj:L1115_00782
ko:K01977	ctlj:L1115_00795
ko:K14234	ctlj:L1115_00144
ko:K14234	ctlj:L1115_00330
ko:K14236	ctlj:L1115_00145
ko:K14225	ctlj:L1115_00748
ko:K14237	ctlj:L1115_00882
ko:K01840	ctlj:L1115_00301
ko:K06972	ctlj:L1115_00877
ko:K08274	ctlj:L1115_00391
ko:K07081	ctlj:L1115_00446
ko:K01679	ctlj:L1115_00910
ko:K03625	ctlj:L1115_00885
ko:K07125	ctlj:L1115_00333
ko:K01802	ctlj:L1115_00569
ko:K08275	ctlj:L1115_00082
ko:K08719	ctlj:L1115_00754
ko:K01829	ctlj:L1115_00829
ko:K01829	ctlj:L1115_00832
ko:K03309	ctlj:L1115_00416
ko:K07033	ctlj:L1115_00724
ko:K03825	ctlj:L1115_00478
ko:K03111	ctlj:L1115_00046
ko:K03497	ctlj:L1115_00728
ko:K03496	ctlj:L1115_p7
ko:K03496	ctlj:L1115_00610
ko:K02626	ctlj:L1115_00387
ko:K11991	ctlj:L1115_00898
ko:K04771	ctlj:L1115_00876
ko:K19411	ctlj:L1115_00712
ko:K02031	ctlj:L1115_00730
ko:K22100	ctlj:L1115_00337
ko:K12132	ctlj:L1115_00307
ko:K20265	ctlj:L1115_00219
ko:K20074	ctlj:L1115_00265
ko:K11749	ctlj:L1115_00075
ko:K22099	ctlj:L1115_00642
ko:K00526	ctlj:L1115_00881
ko:K01520	ctlj:L1115_00298
ko:K00287	ctlj:L1115_00643
ko:K02314	ctlj:L1115_00523
ko:K03553	ctlj:L1115_00683
ko:K02314	ctlj:L1115_p3
ko:K02316	ctlj:L1115_00841
ko:K02335	ctlj:L1115_00518
ko:K02032	ctlj:L1115_00729
ko:K00525	ctlj:L1115_00880
ko:K02050	ctlj:L1115_00909
ko:K02051	ctlj:L1115_00909
ko:K01534	ctlj:L1115_00768
ko:K16239	ctlj:L1115_00086
