ko:K03561	sei:SPC_3229
ko:K06221	sei:SPC_3236
ko:K03319	sei:SPC_3237
ko:K00655	sei:SPC_3246
ko:K02621	sei:SPC_3247
ko:K07645	sei:SPC_3251
ko:K03923	sei:SPC_3252
ko:K02622	sei:SPC_3255
ko:K07000	sei:SPC_3256
ko:K03651	sei:SPC_3257
ko:K09920	sei:SPC_3258
ko:K11216	sei:SPC_4178
ko:K11531	sei:SPC_4179
ko:K10558	sei:SPC_4180
ko:K10556	sei:SPC_4181
ko:K10557	sei:SPC_4182
ko:K10555	sei:SPC_4183
ko:K08321	sei:SPC_4184
ko:K11530	sei:SPC_4185
ko:K01783	sei:SPC_4186
ko:K01803	sei:SPC_4187
ko:K00528	sei:SPC_4190
ko:K02446	sei:SPC_4191
ko:K00864	sei:SPC_4192
ko:K02440	sei:SPC_4193
ko:K09892	sei:SPC_4194
ko:K02553	sei:SPC_4195
ko:K02548	sei:SPC_4196
ko:K03667	sei:SPC_4197
ko:K01419	sei:SPC_4198
ko:K03591	sei:SPC_4199
ko:K05499	sei:SPC_4200
ko:K04066	sei:SPC_4201
ko:K02909	sei:SPC_4202
ko:K03764	sei:SPC_4208
ko:K00297	sei:SPC_4215
ko:K09974	sei:SPC_4217
ko:K00005	sei:SPC_4218
ko:K08314	sei:SPC_4219
ko:K08483	sei:SPC_4220
ko:K11189	sei:SPC_4220
ko:K11201	sei:SPC_4220
ko:K11203	sei:SPC_4221
ko:K11202	sei:SPC_4222
ko:K00656	sei:SPC_4223
ko:K04069	sei:SPC_4224
ko:K11202	sei:SPC_4225
ko:K01595	sei:SPC_4228
ko:K01438	sei:SPC_4229
ko:K00145	sei:SPC_4230
ko:K00930	sei:SPC_4231
ko:K01755	sei:SPC_4232
ko:K04761	sei:SPC_4233
ko:K00322	sei:SPC_4234
ko:K01776	sei:SPC_4239
ko:K03387	sei:SPC_0621
ko:K06140	sei:SPC_0629
ko:K09477	sei:SPC_0631
ko:K05966	sei:SPC_0632
ko:K05964	sei:SPC_0633
ko:K01643	sei:SPC_0634
ko:K01644	sei:SPC_0635
ko:K01646	sei:SPC_0636
ko:K01910	sei:SPC_0637
ko:K07700	sei:SPC_0640
ko:K07702	sei:SPC_0641
ko:K03326	sei:SPC_0642
ko:K03704	sei:SPC_0644
ko:K06199	sei:SPC_0645
ko:K03644	sei:SPC_0648
ko:K03801	sei:SPC_0651
ko:K09158	sei:SPC_0652
ko:K07258	sei:SPC_0653
ko:K03642	sei:SPC_0654
ko:K05837	sei:SPC_0655
ko:K05515	sei:SPC_0656
