ko:K00313	sis:LS215_2655
ko:K00175	sis:LS215_2657
ko:K00174	sis:LS215_2658
ko:K07402	sis:LS215_0840
ko:K02319	sis:LS215_3007
ko:K03799	sis:LS215_0855
ko:K03183	sis:LS215_0880
ko:K00817	sis:LS215_1784
ko:K03124	sis:LS215_1786
ko:K03113	sis:LS215_1787
ko:K01480	sis:LS215_1789
ko:K01880	sis:LS215_1790
ko:K03186	sis:LS215_1796
ko:K02974	sis:LS215_1799
ko:K02977	sis:LS215_1800
ko:K07442	sis:LS215_1808
ko:K02975	sis:LS215_1811
ko:K00943	sis:LS215_0390
ko:K00943	sis:LS215_0391
ko:K08296	sis:LS215_0393
ko:K00170	sis:LS215_0395
ko:K00169	sis:LS215_0396
ko:K00171	sis:LS215_0397
ko:K00172	sis:LS215_0398
ko:K00140	sis:LS215_0412
ko:K01652	sis:LS215_0427
ko:K06911	sis:LS215_0428
ko:K00767	sis:LS215_1316
ko:K00873	sis:LS215_1329
ko:K00389	sis:LS215_1330
ko:K01807	sis:LS215_1331
ko:K01649	sis:LS215_1332
ko:K09903	sis:LS215_1334
ko:K00059	sis:LS215_1336
ko:K03106	sis:LS215_1339
ko:K03263	sis:LS215_1340
ko:K03167	sis:LS215_1342
ko:K00809	sis:LS215_1343
ko:K03724	sis:LS215_1346
ko:K03170	sis:LS215_1348
ko:K03622	sis:LS215_1349
ko:K02435	sis:LS215_1355
ko:K02433	sis:LS215_1356
ko:K07732	sis:LS215_1358
ko:K06953	sis:LS215_1361
ko:K03120	sis:LS215_1362
ko:K08975	sis:LS215_1365
ko:K03124	sis:LS215_1368
ko:K08289	sis:LS215_2252
ko:K03638	sis:LS215_2259
ko:K06877	sis:LS215_2261
ko:K06920	sis:LS215_2263
ko:K07090	sis:LS215_2264
ko:K00852	sis:LS215_2276
ko:K07575	sis:LS215_2290
ko:K02227	sis:LS215_2294
ko:K02233	sis:LS215_2295
ko:K02232	sis:LS215_2296
ko:K01951	sis:LS215_2297
ko:K03799	sis:LS215_2298
ko:K00681	sis:LS215_2306
ko:K09722	sis:LS215_0221
ko:K00606	sis:LS215_0222
ko:K07142	sis:LS215_0232
ko:K09148	sis:LS215_0207
ko:K07562	sis:LS215_0208
ko:K03470	sis:LS215_0209
ko:K03303	sis:LS215_0372
ko:K03307	sis:LS215_0382
ko:K00170	sis:LS215_0368
ko:K00169	sis:LS215_0369
ko:K00171	sis:LS215_0370
ko:K05936	sis:LS215_0108
ko:K02188	sis:LS215_0111
ko:K06042	sis:LS215_0113
ko:K03609	sis:LS215_0131
ko:K06915	sis:LS215_0096
ko:K00059	sis:LS215_0100
ko:K01142	sis:LS215_0101
ko:K07107	sis:LS215_0105
ko:K03399	sis:LS215_0106
ko:K02189	sis:LS215_0107
ko:K00384	sis:LS215_0240
ko:K01092	sis:LS215_0241
ko:K07101	sis:LS215_0245
ko:K01848	sis:LS215_0246
ko:K06874	sis:LS215_0249
ko:K03231	sis:LS215_0250
ko:K07141	sis:LS215_0253
ko:K03518	sis:LS215_0254
ko:K01737	sis:LS215_0237
ko:K01974	sis:LS215_0266
ko:K00852	sis:LS215_0269
ko:K01951	sis:LS215_0271
ko:K05982	sis:LS215_0274
ko:K03320	sis:LS215_1262
ko:K07151	sis:LS215_1264
ko:K03237	sis:LS215_1266
ko:K02978	sis:LS215_1267
ko:K02929	sis:LS215_1268
ko:K02683	sis:LS215_1270
ko:K04802	sis:LS215_1271
ko:K06883	sis:LS215_1272
ko:K00948	sis:LS215_1273
ko:K07446	sis:LS215_1274
ko:K00784	sis:LS215_1275
ko:K09736	sis:LS215_1276
ko:K01975	sis:LS215_1278
ko:K07558	sis:LS215_1279
ko:K07124	sis:LS215_1289
ko:K00123	sis:LS215_1290
ko:K03424	sis:LS215_1291
ko:K05830	sis:LS215_2144
ko:K01259	sis:LS215_2414
ko:K01473	sis:LS215_1100
ko:K01474	sis:LS215_1101
ko:K09711	sis:LS215_1210
ko:K00446	sis:LS215_0417
ko:K01990	sis:LS215_0659
ko:K01992	sis:LS215_0660
ko:K00021	sis:LS215_1692
ko:K01934	sis:LS215_1776
ko:K07388	sis:LS215_2209
ko:K13057	sis:LS215_2870
ko:K10197	sis:LS215_2465
ko:K02303	sis:LS215_2592
ko:K05934	sis:LS215_0112
ko:K07330	sis:LS215_0120
ko:K07325	sis:LS215_0122
ko:K01739	sis:LS215_0196
ko:K03234	sis:LS215_1508
ko:K13051	sis:LS215_0178
ko:K03386	sis:LS215_0378
ko:K05520	sis:LS215_1248
ko:K00666	sis:LS215_2606
ko:K07068	sis:LS215_2608
ko:K02025	sis:LS215_2763
ko:K02026	sis:LS215_2763
ko:K13048	sis:LS215_0677
ko:K04479	sis:LS215_0268
ko:K07472	sis:LS215_0270
ko:K01990	sis:LS215_0224
ko:K01992	sis:LS215_0225
ko:K03055	sis:LS215_1401
ko:K08094	sis:LS215_2152
ko:K02826	sis:LS215_2816
ko:K02827	sis:LS215_2817
ko:K01385	sis:LS215_0927
ko:K05595	sis:LS215_1633
ko:K12410	sis:LS215_0297
ko:K06889	sis:LS215_0807
ko:K01533	sis:LS215_2824
ko:K03496	sis:LS215_2246
ko:K00074	sis:LS215_2609
ko:K07068	sis:LS215_2848
ko:K01990	sis:LS215_2878
ko:K07133	sis:LS215_0688
ko:K00020	sis:LS215_1337
ko:K07033	sis:LS215_1382
ko:K00303	sis:LS215_2110
ko:K00611	sis:LS215_1432
ko:K01061	sis:LS215_0450
ko:K15778	sis:LS215_2090
ko:K01426	sis:LS215_0377
ko:K01239	sis:LS215_0057
ko:K05349	sis:LS215_2494
ko:K03116	sis:LS215_1750
ko:K07025	sis:LS215_1509
ko:K07025	sis:LS215_2940
ko:K03166	sis:LS215_1341
ko:K00020	sis:LS215_0462
ko:K05989	sis:LS215_2506
ko:K00096	sis:LS215_1478
ko:K01916	sis:LS215_2954
