ko:K01153	hpv:HPV225_1457
ko:K07043	hpv:HPV225_1458
ko:K01476	hpv:HPV225_1461
ko:K00259	hpv:HPV225_1462
ko:K00858	hpv:HPV225_1467
ko:K03631	hpv:HPV225_1468
ko:K01783	hpv:HPV225_1473
ko:K03841	hpv:HPV225_1474
ko:K04773	hpv:HPV225_1482
ko:K01433	hpv:HPV225_1483
ko:K01154	hpv:HPV225_1484
ko:K00820	hpv:HPV225_1487
ko:K02313	hpv:HPV225_1490
ko:K01142	hpv:HPV225_1493
ko:K03655	hpv:HPV225_1496
ko:K14225	hpv:HPV225_0967
ko:K14228	hpv:HPV225_0969
ko:K16091	hpv:HPV225_0690
ko:K16091	hpv:HPV225_1459
ko:K00104	hpv:HPV225_0504
ko:K15726	hpv:HPV225_0995
ko:K14221	hpv:HPV225_0008
ko:K14237	hpv:HPV225_0009
ko:K14224	hpv:HPV225_0010
ko:K14229	hpv:HPV225_0011
ko:K14237	hpv:HPV225_0080
ko:K14220	hpv:HPV225_0246
ko:K14233	hpv:HPV225_0402
ko:K14232	hpv:HPV225_0459
ko:K01978	hpv:HPV225_0603
ko:K14230	hpv:HPV225_0751
ko:K14230	hpv:HPV225_0917
ko:K14223	hpv:HPV225_0918
ko:K14222	hpv:HPV225_0970
ko:K14219	hpv:HPV225_1056
ko:K14227	hpv:HPV225_1112
ko:K14218	hpv:HPV225_1113
ko:K14230	hpv:HPV225_1206
ko:K14234	hpv:HPV225_1236
ko:K14225	hpv:HPV225_1237
ko:K14236	hpv:HPV225_1238
ko:K14228	hpv:HPV225_1246
ko:K14231	hpv:HPV225_1492
ko:K01977	hpv:HPV225_r3
ko:K01977	hpv:HPV225_r6
ko:K14228	hpv:HPV225_1245
ko:K10716	hpv:HPV225_0489
ko:K14235	hpv:HPV225_1233
ko:K14224	hpv:HPV225_0007
ko:K14218	hpv:HPV225_0270
ko:K14233	hpv:HPV225_0971
ko:K14219	hpv:HPV225_0349
ko:K14228	hpv:HPV225_1106
ko:K14219	hpv:HPV225_0855
ko:K14226	hpv:HPV225_1057
