ko:K02072	sud:ST398NM01_0528
ko:K02073	sud:ST398NM01_0529
ko:K02519	sud:ST398NM01_1271
ko:K02834	sud:ST398NM01_1272
ko:K11753	sud:ST398NM01_1274
ko:K02956	sud:ST398NM01_1275
ko:K00962	sud:ST398NM01_1276
ko:K03466	sud:ST398NM01_1278
ko:K00995	sud:ST398NM01_1285
ko:K09769	sud:ST398NM01_1290
ko:K00174	sud:ST398NM01_1291
ko:K00175	sud:ST398NM01_1292
ko:K06168	sud:ST398NM01_1295
ko:K03555	sud:ST398NM01_1298
ko:K03572	sud:ST398NM01_1299
ko:K02440	sud:ST398NM01_1301
ko:K00864	sud:ST398NM01_1302
ko:K00111	sud:ST398NM01_1303
ko:K00791	sud:ST398NM01_1305
ko:K03666	sud:ST398NM01_1306
ko:K00432	sud:ST398NM01_1307
ko:K03665	sud:ST398NM01_1308
ko:K01915	sud:ST398NM01_1311
ko:K01114	sud:ST398NM01_2059
ko:K04077	sud:ST398NM01_2066
ko:K04078	sud:ST398NM01_2067
ko:K07078	sud:ST398NM01_2070
ko:K07813	sud:ST398NM01_2073
ko:K07707	sud:ST398NM01_2076
ko:K00847	sud:ST398NM01_2077
ko:K01193	sud:ST398NM01_2078
ko:K03484	sud:ST398NM01_2079
ko:K03320	sud:ST398NM01_2081
ko:K07112	sud:ST398NM01_2083
ko:K01926	sud:ST398NM01_2084
ko:K06158	sud:ST398NM01_2085
ko:K03789	sud:ST398NM01_2089
ko:K06925	sud:ST398NM01_2091
ko:K01687	sud:ST398NM01_2092
ko:K03536	sud:ST398NM01_2758
ko:K02914	sud:ST398NM01_2759
ko:K00783	sud:ST398NM01_0027
ko:K08170	sud:ST398NM01_0117
ko:K03324	sud:ST398NM01_0118
ko:K03303	sud:ST398NM01_0121
ko:K02015	sud:ST398NM01_0124
ko:K02015	sud:ST398NM01_0125
ko:K02016	sud:ST398NM01_0126
ko:K01586	sud:ST398NM01_0135
ko:K03100	sud:ST398NM01_0947
ko:K03100	sud:ST398NM01_0948
ko:K03695	sud:ST398NM01_0974
ko:K00648	sud:ST398NM01_0979
ko:K09458	sud:ST398NM01_0980
ko:K15581	sud:ST398NM01_0982
ko:K15580	sud:ST398NM01_0986
ko:K15581	sud:ST398NM01_0987
ko:K01867	sud:ST398NM01_0992
ko:K08602	sud:ST398NM01_0996
ko:K06886	sud:ST398NM01_0998
ko:K00858	sud:ST398NM01_1002
ko:K06180	sud:ST398NM01_1003
