ko:K00285	bss:BSUW23_15935
ko:K00318	bss:BSUW23_16070
ko:K02013	bss:BSUW23_16115
ko:K04047	bss:BSUW23_16135
ko:K00686	bss:BSUW23_15185
ko:K06973	bss:BSUW23_15225
ko:K01810	bss:BSUW23_15255
ko:K09779	bss:BSUW23_15270
ko:K07697	bss:BSUW23_15305
ko:K06347	bss:BSUW23_15310
ko:K06348	bss:BSUW23_15315
ko:K05566	bss:BSUW23_15370
ko:K05567	bss:BSUW23_15375
ko:K05569	bss:BSUW23_15385
ko:K05571	bss:BSUW23_15395
ko:K06950	bss:BSUW23_15480
ko:K03466	bss:BSUW23_15500
ko:K00259	bss:BSUW23_15525
ko:K04780	bss:BSUW23_15540
ko:K02361	bss:BSUW23_15555
ko:K00216	bss:BSUW23_15560
ko:K03523	bss:BSUW23_15575
ko:K07084	bss:BSUW23_15580
ko:K01255	bss:BSUW23_15585
ko:K09775	bss:BSUW23_15590
ko:K03885	bss:BSUW23_15610
ko:K00364	bss:BSUW23_15625
ko:K03644	bss:BSUW23_15765
ko:K07090	bss:BSUW23_15790
ko:K00381	bss:BSUW23_16380
ko:K03657	bss:BSUW23_16390
ko:K01534	bss:BSUW23_16410
ko:K01118	bss:BSUW23_16435
ko:K00134	bss:BSUW23_16670
ko:K05311	bss:BSUW23_16675
ko:K01953	bss:BSUW23_14810
ko:K00789	bss:BSUW23_14815
ko:K01610	bss:BSUW23_14820
ko:K04047	bss:BSUW23_14870
ko:K07173	bss:BSUW23_14885
ko:K08998	bss:BSUW23_14890
ko:K01673	bss:BSUW23_14895
ko:K02909	bss:BSUW23_14900
ko:K00425	bss:BSUW23_14905
ko:K00975	bss:BSUW23_15035
ko:K00426	bss:BSUW23_14910
ko:K01911	bss:BSUW23_14945
ko:K01661	bss:BSUW23_14950
ko:K02551	bss:BSUW23_14960
ko:K00963	bss:BSUW23_14975
ko:K00012	bss:BSUW23_14980
ko:K00688	bss:BSUW23_15020
ko:K00703	bss:BSUW23_15025
ko:K00975	bss:BSUW23_15030
ko:K00260	bss:BSUW23_18665
ko:K01790	bss:BSUW23_18675
ko:K00067	bss:BSUW23_18680
ko:K00973	bss:BSUW23_18690
ko:K06305	bss:BSUW23_18730
ko:K03648	bss:BSUW23_18760
ko:K06153	bss:BSUW23_15125
ko:K03534	bss:BSUW23_15145
ko:K00848	bss:BSUW23_15150
ko:K00849	bss:BSUW23_18890
ko:K07224	bss:BSUW23_18930
ko:K00788	bss:BSUW23_18935
ko:K00878	bss:BSUW23_18940
ko:K05820	bss:BSUW23_18990
ko:K06969	bss:BSUW23_19000
ko:K01193	bss:BSUW23_18795
ko:K02598	bss:BSUW23_18805
ko:K05837	bss:BSUW23_18835
ko:K02829	bss:BSUW23_18860
ko:K02828	bss:BSUW23_18865
ko:K02827	bss:BSUW23_18870
ko:K02826	bss:BSUW23_18875
ko:K06338	bss:BSUW23_15005
ko:K00128	bss:BSUW23_10320
