ko:K12257	baml:BAM5036_2417
ko:K06409	baml:BAM5036_2419
ko:K06966	baml:BAM5036_3101
ko:K03321	baml:BAM5036_3103
ko:K01673	baml:BAM5036_3104
ko:K00675	baml:BAM5036_3107
ko:K11184	baml:BAM5036_3108
ko:K06958	baml:BAM5036_3111
ko:K00384	baml:BAM5036_3114
ko:K11755	baml:BAM5036_3121
ko:K02500	baml:BAM5036_3122
ko:K01814	baml:BAM5036_3123
ko:K02501	baml:BAM5036_3124
ko:K01693	baml:BAM5036_3125
ko:K00013	baml:BAM5036_3126
ko:K00765	baml:BAM5036_3127
ko:K02502	baml:BAM5036_3128
ko:K06019	baml:BAM5036_3131
ko:K13292	baml:BAM5036_3132
ko:K01443	baml:BAM5036_3134
ko:K03710	baml:BAM5036_3136
ko:K08972	baml:BAM5036_3139
ko:K03701	baml:BAM5036_3144
ko:K03702	baml:BAM5036_3145
ko:K19577	baml:BAM5036_0771
ko:K01198	baml:BAM5036_1679
ko:K01805	baml:BAM5036_1681
ko:K01356	baml:BAM5036_1704
ko:K00615	baml:BAM5036_1708
ko:K03413	baml:BAM5036_1713
ko:K06335	baml:BAM5036_1716
ko:K06433	baml:BAM5036_1717
ko:K06432	baml:BAM5036_1718
ko:K01681	baml:BAM5036_1719
ko:K06431	baml:BAM5036_1722
ko:K06434	baml:BAM5036_1723
ko:K07107	baml:BAM5036_1724
ko:K03210	baml:BAM5036_2422
ko:K00773	baml:BAM5036_2423
ko:K07568	baml:BAM5036_2424
ko:K03551	baml:BAM5036_2425
ko:K03550	baml:BAM5036_2426
ko:K06318	baml:BAM5036_2427
ko:K06370	baml:BAM5036_2430
ko:K03517	baml:BAM5036_2431
ko:K00767	baml:BAM5036_2432
ko:K00278	baml:BAM5036_2433
ko:K04487	baml:BAM5036_2434
ko:K06209	baml:BAM5036_2437
ko:K03979	baml:BAM5036_2438
ko:K06375	baml:BAM5036_2439
ko:K02899	baml:BAM5036_2440
ko:K02888	baml:BAM5036_2442
ko:K06401	baml:BAM5036_2444
ko:K03609	baml:BAM5036_2445
ko:K03610	baml:BAM5036_2446
ko:K03571	baml:BAM5036_2447
ko:K03570	baml:BAM5036_2448
ko:K03569	baml:BAM5036_2449
ko:K03630	baml:BAM5036_2450
ko:K06287	baml:BAM5036_2451
ko:K11754	baml:BAM5036_2454
ko:K01873	baml:BAM5036_2455
ko:K06417	baml:BAM5036_2458
ko:K01845	baml:BAM5036_2459
ko:K01698	baml:BAM5036_2460
ko:K01749	baml:BAM5036_2462
ko:K02497	baml:BAM5036_2463
ko:K03797	baml:BAM5036_3160
ko:K09811	baml:BAM5036_3162
ko:K09812	baml:BAM5036_3163
ko:K02836	baml:BAM5036_3166
ko:K03070	baml:BAM5036_3167
ko:K02423	baml:BAM5036_3170
ko:K02422	baml:BAM5036_3171
ko:K02407	baml:BAM5036_3172
ko:K02406	baml:BAM5036_3173
ko:K03563	baml:BAM5036_3174
ko:K13626	baml:BAM5036_3175
ko:K02397	baml:BAM5036_3177
ko:K02396	baml:BAM5036_3178
ko:K02398	baml:BAM5036_3180
ko:K07777	baml:BAM5036_3187
ko:K16698	baml:BAM5036_3192
