ko:K03974	eln:NRG857_06690
ko:K03969	eln:NRG857_06695
ko:K03970	eln:NRG857_06700
ko:K03971	eln:NRG857_06710
ko:K14053	eln:NRG857_06770
ko:K06918	eln:NRG857_06780
ko:K08990	eln:NRG857_06785
ko:K03721	eln:NRG857_06790
ko:K11065	eln:NRG857_06795
ko:K14054	eln:NRG857_06805
ko:K15580	eln:NRG857_06825
ko:K14055	eln:NRG857_06840
ko:K08289	eln:NRG857_09265
ko:K01625	eln:NRG857_09270
ko:K01690	eln:NRG857_09275
ko:K00036	eln:NRG857_09280
ko:K00873	eln:NRG857_09295
ko:K02560	eln:NRG857_09300
ko:K09817	eln:NRG857_09315
ko:K09816	eln:NRG857_09320
ko:K03551	eln:NRG857_09325
ko:K03550	eln:NRG857_09330
ko:K01159	eln:NRG857_09340
ko:K08310	eln:NRG857_09350
ko:K01876	eln:NRG857_09355
ko:K07136	eln:NRG857_09370
ko:K15256	eln:NRG857_09375
ko:K15257	eln:NRG857_09380
ko:K07821	eln:NRG857_09390
ko:K09907	eln:NRG857_09400
ko:K01887	eln:NRG857_09405
ko:K03516	eln:NRG857_09410
ko:K02400	eln:NRG857_09415
ko:K02401	eln:NRG857_09420
ko:K03414	eln:NRG857_09430
ko:K03413	eln:NRG857_09435
ko:K03412	eln:NRG857_09440
ko:K03408	eln:NRG857_09455
ko:K03407	eln:NRG857_09460
ko:K02557	eln:NRG857_09465
