ko:K19116	tmw:THMA_1846
ko:K19115	tmw:THMA_1847
ko:K19114	tmw:THMA_1848
ko:K19140	tmw:THMA_1853
ko:K19139	tmw:THMA_1854
ko:K09002	tmw:THMA_1855
ko:K19138	tmw:THMA_1856
ko:K07016	tmw:THMA_1857
ko:K19091	tmw:THMA_1859
ko:K01873	tmw:THMA_1862
ko:K07240	tmw:THMA_1863
ko:K07240	tmw:THMA_1864
ko:K01951	tmw:THMA_1865
ko:K03653	tmw:THMA_1866
ko:K04088	tmw:THMA_1867
ko:K04087	tmw:THMA_1868
ko:K00794	tmw:THMA_1870
ko:K14652	tmw:THMA_1871
ko:K00793	tmw:THMA_1872
ko:K11752	tmw:THMA_1873
ko:K07496	tmw:THMA_1875
ko:K07491	tmw:THMA_1876
ko:K07406	tmw:THMA_1878
ko:K10110	tmw:THMA_1880
ko:K10109	tmw:THMA_1881
ko:K10108	tmw:THMA_1882
ko:K01176	tmw:THMA_1883
ko:K14233	tmw:THMA_0841
ko:K14233	tmw:THMA_0485
ko:K14219	tmw:THMA_0197
ko:K14219	tmw:THMA_0195
ko:K14219	tmw:THMA_1579
ko:K14218	tmw:THMA_0189
ko:K14218	tmw:THMA_1627
ko:K14218	tmw:THMA_0177
ko:K12960	tmw:THMA_0958
ko:K01579	tmw:THMA_0961
ko:K06179	tmw:THMA_0962
ko:K01915	tmw:THMA_0966
ko:K02529	tmw:THMA_0972
ko:K00864	tmw:THMA_0975
ko:K00615	tmw:THMA_0976
ko:K00615	tmw:THMA_0977
ko:K10440	tmw:THMA_0978
ko:K10441	tmw:THMA_0979
ko:K10439	tmw:THMA_0981
ko:K06726	tmw:THMA_0982
ko:K00852	tmw:THMA_0983
ko:K03744	tmw:THMA_0984
ko:K06872	tmw:THMA_0985
ko:K08602	tmw:THMA_0986
ko:K09121	tmw:THMA_0987
ko:K06898	tmw:THMA_0988
ko:K06864	tmw:THMA_0989
ko:K07496	tmw:THMA_0993
ko:K07237	tmw:THMA_1001
ko:K07236	tmw:THMA_1002
ko:K07235	tmw:THMA_1003
ko:K07112	tmw:THMA_1004
ko:K06894	tmw:THMA_1006
ko:K09934	tmw:THMA_1008
ko:K10441	tmw:THMA_1891
ko:K10440	tmw:THMA_1892
ko:K10439	tmw:THMA_1893
ko:K02026	tmw:THMA_1894
ko:K02025	tmw:THMA_1895
ko:K05350	tmw:THMA_1897
ko:K00702	tmw:THMA_1898
ko:K01191	tmw:THMA_1901
ko:K02026	tmw:THMA_1903
ko:K02025	tmw:THMA_1904
ko:K02027	tmw:THMA_1905
ko:K02529	tmw:THMA_1906
ko:K18682	tmw:THMA_1907
ko:K03565	tmw:THMA_1908
ko:K01975	tmw:THMA_1910
ko:K00995	tmw:THMA_1911
ko:K14441	tmw:THMA_1912
ko:K05982	tmw:THMA_1915
ko:K00016	tmw:THMA_1917
ko:K16785	tmw:THMA_1918
ko:K03609	tmw:THMA_1920
ko:K01581	tmw:THMA_1923
ko:K03704	tmw:THMA_1924
ko:K01885	tmw:THMA_1925
ko:K09711	tmw:THMA_1927
ko:K11751	tmw:THMA_1928
ko:K00991	tmw:THMA_1422
ko:K04083	tmw:THMA_1423
ko:K01872	tmw:THMA_1425
ko:K00981	tmw:THMA_1426
ko:K00806	tmw:THMA_1427
ko:K02838	tmw:THMA_1428
ko:K00058	tmw:THMA_1430
ko:K01990	tmw:THMA_1432
ko:K01992	tmw:THMA_1433
ko:K01193	tmw:THMA_1443
ko:K01092	tmw:THMA_1444
ko:K09013	tmw:THMA_1447
ko:K01858	tmw:THMA_1450
ko:K01926	tmw:THMA_1457
ko:K03406	tmw:THMA_1458
ko:K02440	tmw:THMA_1459
ko:K00864	tmw:THMA_1460
ko:K02443	tmw:THMA_1461
ko:K00111	tmw:THMA_1462
ko:K06929	tmw:THMA_1465
ko:K02443	tmw:THMA_1466
ko:K02528	tmw:THMA_1467
ko:K16149	tmw:THMA_1468
ko:K09942	tmw:THMA_1469
ko:K01876	tmw:THMA_1471
