ko:K05520	saub:C248_1947
ko:K07058	saub:C248_1955
ko:K01265	saub:C248_1960
ko:K02217	saub:C248_1966
ko:K02346	saub:C248_1969
ko:K03215	saub:C248_1971
ko:K02434	saub:C248_1974
ko:K02435	saub:C248_1976
ko:K16787	saub:C248_2257
ko:K02015	saub:C248_0820
ko:K02015	saub:C248_0821
ko:K02013	saub:C248_0822
ko:K02016	saub:C248_0823
ko:K00075	saub:C248_0825
ko:K03070	saub:C248_0840
ko:K02836	saub:C248_0841
ko:K07023	saub:C248_0843
ko:K03702	saub:C248_0845
ko:K03701	saub:C248_0846
ko:K13292	saub:C248_0848
ko:K00384	saub:C248_0851
ko:K01358	saub:C248_0857
ko:K07071	saub:C248_0859
ko:K05311	saub:C248_0862
ko:K00134	saub:C248_0863
ko:K04564	saub:C248_0122
ko:K02016	saub:C248_1159
ko:K02015	saub:C248_1160
ko:K08600	saub:C248_1161
ko:K03437	saub:C248_1164
ko:K01889	saub:C248_1165
ko:K01890	saub:C248_1166
ko:K09888	saub:C248_1168
ko:K02347	saub:C248_1170
ko:K07456	saub:C248_1171
ko:K03671	saub:C248_1172
ko:K03703	saub:C248_1174
ko:K00239	saub:C248_1177
ko:K00240	saub:C248_1178
ko:K01776	saub:C248_1179
ko:K07095	saub:C248_1181
ko:K11032	saub:C248_1190
ko:K00611	saub:C248_1195
ko:K00926	saub:C248_1196
ko:K03925	saub:C248_1207
ko:K03438	saub:C248_1208
ko:K01000	saub:C248_1211
ko:K07078	saub:C248_2036
ko:K07813	saub:C248_2040
ko:K07707	saub:C248_2043
ko:K00847	saub:C248_2044
ko:K01193	saub:C248_2045
ko:K03484	saub:C248_2046
ko:K03320	saub:C248_2047
ko:K07112	saub:C248_2049
ko:K01926	saub:C248_2050
ko:K06158	saub:C248_2051
ko:K03789	saub:C248_2055
ko:K06925	saub:C248_2057
ko:K01687	saub:C248_2059
ko:K01652	saub:C248_2060
ko:K01653	saub:C248_2061
ko:K00053	saub:C248_2062
ko:K01649	saub:C248_2063
ko:K00052	saub:C248_2064
ko:K01703	saub:C248_2065
ko:K01704	saub:C248_2066
ko:K01754	saub:C248_2067
ko:K06959	saub:C248_2074
ko:K01775	saub:C248_2082
ko:K00997	saub:C248_2083
ko:K01548	saub:C248_2087
ko:K01547	saub:C248_2088
ko:K02343	saub:C248_0529
ko:K09747	saub:C248_0530
ko:K06187	saub:C248_0531
ko:K00943	saub:C248_0536
ko:K02341	saub:C248_0538
ko:K07461	saub:C248_0542
ko:K07056	saub:C248_0543
ko:K01874	saub:C248_0545
ko:K03424	saub:C248_0546
ko:K05985	saub:C248_0547
ko:K02528	saub:C248_0548
ko:K00919	saub:C248_0550
ko:K06412	saub:C248_0553
ko:K04042	saub:C248_0554
ko:K00948	saub:C248_0555
ko:K02897	saub:C248_0556
ko:K01056	saub:C248_0558
ko:K03723	saub:C248_0559
ko:K07571	saub:C248_0564
ko:K04075	saub:C248_0565
ko:K00760	saub:C248_0566
ko:K03798	saub:C248_0567
ko:K04083	saub:C248_0568
ko:K01738	saub:C248_0569
ko:K00796	saub:C248_0570
ko:K01633	saub:C248_0571
ko:K00950	saub:C248_0572
ko:K04567	saub:C248_0574
ko:K01775	saub:C248_1438
ko:K01586	saub:C248_1439
ko:K07734	saub:C248_1440
ko:K03704	saub:C248_1442
ko:K01512	saub:C248_1444
ko:K03311	saub:C248_1446
ko:K00658	saub:C248_1451
ko:K00164	saub:C248_1452
ko:K02563	saub:C248_1458
ko:K03797	saub:C248_1460
ko:K09125	saub:C248_1472
ko:K08170	saub:C248_1475
ko:K01754	saub:C248_1477
ko:K00259	saub:C248_1478
ko:K07444	saub:C248_1483
ko:K03639	saub:C248_2306
ko:K03752	saub:C248_2307
ko:K03636	saub:C248_2308
ko:K03753	saub:C248_2310
ko:K03750	saub:C248_2311
ko:K03637	saub:C248_2312
ko:K03638	saub:C248_2313
ko:K02018	saub:C248_2316
ko:K02020	saub:C248_2317
ko:K02379	saub:C248_2318
ko:K03523	saub:C248_2320
ko:K02016	saub:C248_2323
ko:K08717	saub:C248_2326
ko:K01430	saub:C248_2327
ko:K01429	saub:C248_2328
ko:K01428	saub:C248_2329
ko:K03187	saub:C248_2330
ko:K03188	saub:C248_2331
ko:K03189	saub:C248_2332
ko:K03190	saub:C248_2333
ko:K03315	saub:C248_2340
ko:K09940	saub:C248_2342
ko:K00123	saub:C248_2351
ko:K00927	saub:C248_0864
ko:K01803	saub:C248_0865
ko:K15633	saub:C248_0866
ko:K01689	saub:C248_0867
ko:K03075	saub:C248_0869
ko:K03928	saub:C248_0870
ko:K12573	saub:C248_0871
ko:K03664	saub:C248_0872
ko:K03630	saub:C248_1702
ko:K11754	saub:C248_1704
ko:K01873	saub:C248_1705
ko:K01246	saub:C248_1706
ko:K01845	saub:C248_1708
ko:K01698	saub:C248_1709
ko:K01749	saub:C248_1711
ko:K02497	saub:C248_1712
ko:K02492	saub:C248_1713
ko:K03978	saub:C248_1714
ko:K03544	saub:C248_1715
ko:K03545	saub:C248_1716
ko:K02887	saub:C248_1720
ko:K02916	saub:C248_1721
ko:K02520	saub:C248_1722
ko:K11733	saub:C248_1723
ko:K01868	saub:C248_1724
ko:K07738	saub:C248_1728
ko:K00134	saub:C248_1729
ko:K00859	saub:C248_1730
ko:K07636	saub:C248_1734
ko:K00031	saub:C248_1736
ko:K01647	saub:C248_1737
ko:K11737	saub:C248_1738
ko:K00873	saub:C248_1739
ko:K00850	saub:C248_1740
ko:K01962	saub:C248_1741
ko:K01963	saub:C248_1742
ko:K02337	saub:C248_1744
ko:K00259	saub:C248_1750
ko:K06999	saub:C248_2576
ko:K15975	saub:C248_2577
ko:K15973	saub:C248_2578
ko:K06975	saub:C248_2579
ko:K03778	saub:C248_2582
ko:K03823	saub:C248_2586
ko:K01752	saub:C248_2588
ko:K01752	saub:C248_2589
ko:K07107	saub:C248_2594
ko:K04759	saub:C248_2607
ko:K04758	saub:C248_2608
ko:K03778	saub:C248_2617
ko:K16785	saub:C248_2256
ko:K02773	saub:C248_0231
ko:K02774	saub:C248_0232
ko:K05352	saub:C248_0239
ko:K07322	saub:C248_0247
ko:K07704	saub:C248_0248
ko:K05338	saub:C248_0250
ko:K05339	saub:C248_0251
ko:K04561	saub:C248_0252
ko:K03489	saub:C248_0253
ko:K01223	saub:C248_0255
ko:K06726	saub:C248_0259
ko:K02529	saub:C248_0261
ko:K01442	saub:C248_0265
ko:K03466	saub:C248_0277
ko:K06969	saub:C248_1107
ko:K00425	saub:C248_1112
ko:K00426	saub:C248_1113
ko:K01462	saub:C248_1118
ko:K00161	saub:C248_1120
ko:K00162	saub:C248_1121
ko:K00627	saub:C248_1122
ko:K00382	saub:C248_1123
ko:K03322	saub:C248_1132
ko:K06207	saub:C248_1136
ko:K03588	saub:C248_1140
ko:K02259	saub:C248_1142
ko:K08976	saub:C248_1144
ko:K01126	saub:C248_1147
ko:K00954	saub:C248_1151
ko:K07040	saub:C248_1153
ko:K02911	saub:C248_1154
ko:K01972	saub:C248_1979
ko:K03657	saub:C248_1980
ko:K01756	saub:C248_1983
ko:K00763	saub:C248_1989
ko:K00491	saub:C248_1990
ko:K14445	saub:C248_1993
ko:K01114	saub:C248_2026
ko:K04077	saub:C248_2032
ko:K04078	saub:C248_2033
ko:K00375	saub:C248_0589
ko:K06215	saub:C248_0590
ko:K08681	saub:C248_0591
ko:K11535	saub:C248_0593
ko:K03696	saub:C248_0597
ko:K04485	saub:C248_0598
ko:K00640	saub:C248_0602
ko:K01883	saub:C248_0603
ko:K11145	saub:C248_0604
ko:K03218	saub:C248_0605
ko:K06962	saub:C248_0606
ko:K03091	saub:C248_0607
ko:K02913	saub:C248_0608
ko:K03073	saub:C248_0609
ko:K02601	saub:C248_0610
ko:K02867	saub:C248_0612
ko:K02863	saub:C248_0613
ko:K02864	saub:C248_0614
ko:K02935	saub:C248_0615
ko:K03043	saub:C248_0617
ko:K03046	saub:C248_0618
ko:K07590	saub:C248_0619
ko:K02950	saub:C248_0620
ko:K02992	saub:C248_0621
ko:K02355	saub:C248_0622
ko:K02358	saub:C248_0623
ko:K05523	saub:C248_0626
ko:K00826	saub:C248_0629
ko:K01091	saub:C248_0630
ko:K15519	saub:C248_0631
ko:K15518	saub:C248_0632
ko:K14194	saub:C248_0636
ko:K14194	saub:C248_0637
ko:K14194	saub:C248_0638
ko:K09007	saub:C248_0641
ko:K05366	saub:C248_1490
ko:K10773	saub:C248_1492
ko:K01893	saub:C248_1494
ko:K03524	saub:C248_1496
ko:K06973	saub:C248_1500
ko:K00800	saub:C248_1504
ko:K03311	saub:C248_0294
ko:K02003	saub:C248_0298
ko:K01925	saub:C248_1212
ko:K03589	saub:C248_1213
ko:K03590	saub:C248_1214
ko:K03531	saub:C248_1215
ko:K05810	saub:C248_1216
ko:K06997	saub:C248_1217
ko:K09772	saub:C248_1218
ko:K02221	saub:C248_1219
ko:K04074	saub:C248_1221
ko:K01870	saub:C248_1222
ko:K03101	saub:C248_1225
ko:K06180	saub:C248_1226
ko:K02825	saub:C248_1227
ko:K00609	saub:C248_1229
ko:K01465	saub:C248_1230
ko:K01956	saub:C248_1231
ko:K01955	saub:C248_1232
ko:K01591	saub:C248_1233
ko:K00762	saub:C248_1234
ko:K00942	saub:C248_1239
ko:K03060	saub:C248_1240
ko:K13038	saub:C248_1241
ko:K04066	saub:C248_1242
ko:K01462	saub:C248_1245
ko:K00604	saub:C248_1246
ko:K03500	saub:C248_1247
ko:K06941	saub:C248_1248
ko:K06949	saub:C248_1251
ko:K01783	saub:C248_1252
ko:K02902	saub:C248_1254
ko:K03655	saub:C248_1257
ko:K03621	saub:C248_1259
ko:K00645	saub:C248_1260
ko:K02078	saub:C248_1263
ko:K03685	saub:C248_1264
ko:K03529	saub:C248_1265
ko:K03110	saub:C248_1266
ko:K01546	saub:C248_2089
ko:K07646	saub:C248_2090
ko:K07667	saub:C248_2091
ko:K01929	saub:C248_2093
ko:K01921	saub:C248_2094
ko:K05837	saub:C248_2095
ko:K06131	saub:C248_2099
ko:K06950	saub:C248_2100
ko:K03217	saub:C248_2103
ko:K00788	saub:C248_2104
ko:K00878	saub:C248_2105
ko:K00941	saub:C248_2106
