ko:K13853	sux:SAEMRSA15_16450
ko:K01924	sux:SAEMRSA15_16480
ko:K03466	sux:SAEMRSA15_16490
ko:K06878	sux:SAEMRSA15_16500
ko:K03439	sux:SAEMRSA15_16560
ko:K00824	sux:SAEMRSA15_16580
ko:K00963	sux:SAEMRSA15_23980
ko:K11476	sux:SAEMRSA15_24030
ko:K04041	sux:SAEMRSA15_24140
ko:K06999	sux:SAEMRSA15_24160
ko:K15975	sux:SAEMRSA15_24170
ko:K07704	sux:SAEMRSA15_02190
ko:K05338	sux:SAEMRSA15_02210
ko:K05339	sux:SAEMRSA15_02220
ko:K04561	sux:SAEMRSA15_02230
ko:K03489	sux:SAEMRSA15_02240
ko:K01223	sux:SAEMRSA15_02260
ko:K06726	sux:SAEMRSA15_02290
ko:K02529	sux:SAEMRSA15_02310
ko:K01442	sux:SAEMRSA15_02340
ko:K03466	sux:SAEMRSA15_02460
ko:K03311	sux:SAEMRSA15_02620
ko:K02003	sux:SAEMRSA15_02650
ko:K00604	sux:SAEMRSA15_10490
ko:K03500	sux:SAEMRSA15_10500
ko:K06941	sux:SAEMRSA15_10510
ko:K06949	sux:SAEMRSA15_10540
ko:K01783	sux:SAEMRSA15_10550
ko:K15973	sux:SAEMRSA15_24180
ko:K06975	sux:SAEMRSA15_24190
ko:K03778	sux:SAEMRSA15_24220
ko:K03823	sux:SAEMRSA15_24280
ko:K01752	sux:SAEMRSA15_24290
ko:K01752	sux:SAEMRSA15_24300
ko:K02902	sux:SAEMRSA15_10570
ko:K03655	sux:SAEMRSA15_10600
ko:K03621	sux:SAEMRSA15_10620
ko:K00645	sux:SAEMRSA15_10630
ko:K02078	sux:SAEMRSA15_10650
ko:K03685	sux:SAEMRSA15_10660
ko:K03529	sux:SAEMRSA15_10670
ko:K03110	sux:SAEMRSA15_10680
ko:K03106	sux:SAEMRSA15_10700
ko:K02959	sux:SAEMRSA15_10710
ko:K02860	sux:SAEMRSA15_10720
ko:K00554	sux:SAEMRSA15_10730
ko:K02884	sux:SAEMRSA15_10740
ko:K14540	sux:SAEMRSA15_10760
ko:K03470	sux:SAEMRSA15_10770
ko:K01903	sux:SAEMRSA15_10780
ko:K01902	sux:SAEMRSA15_10790
ko:K04096	sux:SAEMRSA15_10820
ko:K03168	sux:SAEMRSA15_10830
ko:K04094	sux:SAEMRSA15_10840
ko:K03733	sux:SAEMRSA15_10850
ko:K01419	sux:SAEMRSA15_10860
ko:K03667	sux:SAEMRSA15_10870
ko:K03706	sux:SAEMRSA15_10880
ko:K02967	sux:SAEMRSA15_10890
ko:K02357	sux:SAEMRSA15_10900
ko:K09903	sux:SAEMRSA15_10910
ko:K02838	sux:SAEMRSA15_10920
ko:K00806	sux:SAEMRSA15_10930
ko:K00981	sux:SAEMRSA15_10940
ko:K11749	sux:SAEMRSA15_10950
ko:K01881	sux:SAEMRSA15_10960
ko:K03763	sux:SAEMRSA15_10970
ko:K09748	sux:SAEMRSA15_10980
ko:K02600	sux:SAEMRSA15_10990
ko:K07742	sux:SAEMRSA15_11000
ko:K02519	sux:SAEMRSA15_11020
ko:K03702	sux:SAEMRSA15_06840
ko:K03701	sux:SAEMRSA15_06850
ko:K13292	sux:SAEMRSA15_06870
ko:K00384	sux:SAEMRSA15_06900
ko:K01358	sux:SAEMRSA15_06940
ko:K07071	sux:SAEMRSA15_06960
ko:K05311	sux:SAEMRSA15_06980
ko:K00134	sux:SAEMRSA15_06990
ko:K00927	sux:SAEMRSA15_07000
ko:K01803	sux:SAEMRSA15_07010
ko:K15633	sux:SAEMRSA15_07020
ko:K01689	sux:SAEMRSA15_07030
ko:K03075	sux:SAEMRSA15_07050
ko:K03928	sux:SAEMRSA15_07060
ko:K12573	sux:SAEMRSA15_07070
ko:K03664	sux:SAEMRSA15_07080
ko:K03704	sux:SAEMRSA15_07190
ko:K06895	sux:SAEMRSA15_07280
ko:K03785	sux:SAEMRSA15_07310
ko:K02437	sux:SAEMRSA15_07350
ko:K07160	sux:SAEMRSA15_15230
ko:K01961	sux:SAEMRSA15_15240
ko:K07571	sux:SAEMRSA15_04340
ko:K04075	sux:SAEMRSA15_04350
ko:K00760	sux:SAEMRSA15_04360
ko:K03798	sux:SAEMRSA15_04370
ko:K04083	sux:SAEMRSA15_04380
ko:K01738	sux:SAEMRSA15_04390
ko:K00796	sux:SAEMRSA15_04400
ko:K01633	sux:SAEMRSA15_04410
ko:K00950	sux:SAEMRSA15_04420
ko:K04567	sux:SAEMRSA15_04430
ko:K00375	sux:SAEMRSA15_04440
ko:K06215	sux:SAEMRSA15_04450
ko:K08681	sux:SAEMRSA15_04460
