ko:K00134	cbm:CBF_1156
ko:K02818	cbm:CBF_2039
ko:K02819	cbm:CBF_2039
ko:K02769	cbm:CBF_2044
ko:K02770	cbm:CBF_2044
ko:K00005	cbm:CBF_2051
ko:K00759	cbm:CBF_2058
ko:K06901	cbm:CBF_2059
ko:K07090	cbm:CBF_2909
ko:K00794	cbm:CBF_2910
ko:K14652	cbm:CBF_2911
ko:K00793	cbm:CBF_2912
ko:K11752	cbm:CBF_2913
ko:K01531	cbm:CBF_2916
ko:K01945	cbm:CBF_2921
ko:K00602	cbm:CBF_2922
ko:K11175	cbm:CBF_2923
ko:K01933	cbm:CBF_2924
ko:K00764	cbm:CBF_2925
ko:K01923	cbm:CBF_2926
ko:K01588	cbm:CBF_2927
ko:K01464	cbm:CBF_2933
ko:K07141	cbm:CBF_2939
ko:K07402	cbm:CBF_2940
ko:K07402	cbm:CBF_2941
ko:K02015	cbm:CBF_2943
ko:K02013	cbm:CBF_2944
ko:K02016	cbm:CBF_2945
ko:K06901	cbm:CBF_2949
ko:K03310	cbm:CBF_2950
ko:K01880	cbm:CBF_3701
ko:K04567	cbm:CBF_3702
ko:K03624	cbm:CBF_3703
ko:K03525	cbm:CBF_3706
ko:K01938	cbm:CBF_3707
ko:K03798	cbm:CBF_3708
ko:K00760	cbm:CBF_3709
ko:K04075	cbm:CBF_3710
ko:K06382	cbm:CBF_3711
ko:K07571	cbm:CBF_3716
ko:K02003	cbm:CBF_0281
ko:K02526	cbm:CBF_0287
ko:K02003	cbm:CBF_0315
ko:K01232	cbm:CBF_0319
ko:K03704	cbm:CBF_0323
ko:K07118	cbm:CBF_0327
ko:K00077	cbm:CBF_1225
ko:K01491	cbm:CBF_1227
ko:K07238	cbm:CBF_1232
ko:K01738	cbm:CBF_1234
ko:K04487	cbm:CBF_1237
ko:K00566	cbm:CBF_1240
ko:K07707	cbm:CBF_1242
ko:K01126	cbm:CBF_1247
ko:K03737	cbm:CBF_1249
ko:K01201	cbm:CBF_1256
ko:K01223	cbm:CBF_1258
ko:K01866	cbm:CBF_1260
ko:K01752	cbm:CBF_1271
ko:K04030	cbm:CBF_2137
ko:K04024	cbm:CBF_2140
ko:K04029	cbm:CBF_2142
ko:K03449	cbm:CBF_2155
ko:K07727	cbm:CBF_2172
ko:K01735	cbm:CBF_2176
ko:K02003	cbm:CBF_2178
ko:K06385	cbm:CBF_3010
ko:K06012	cbm:CBF_3011
ko:K02968	cbm:CBF_3012
ko:K03833	cbm:CBF_3020
ko:K01042	cbm:CBF_3021
ko:K02237	cbm:CBF_3023
ko:K06180	cbm:CBF_3025
ko:K07574	cbm:CBF_3030
ko:K03979	cbm:CBF_3031
ko:K02899	cbm:CBF_3032
ko:K02888	cbm:CBF_3034
ko:K08301	cbm:CBF_3035
ko:K05837	cbm:CBF_3040
ko:K03608	cbm:CBF_3041
