ko:K02234	bmi:BMEA_A1354
ko:K02231	bmi:BMEA_A1355
ko:K02232	bmi:BMEA_A1359
ko:K12257	bmi:BMEA_A1370
ko:K03455	bmi:BMEA_A1371
ko:K07027	bmi:BMEA_A1372
ko:K02047	bmi:BMEA_A1374
ko:K02046	bmi:BMEA_A1375
ko:K02048	bmi:BMEA_A1376
ko:K01955	bmi:BMEA_A1541
ko:K02471	bmi:BMEA_A1543
ko:K03704	bmi:BMEA_A1545
ko:K00812	bmi:BMEA_A1547
ko:K00384	bmi:BMEA_A1550
ko:K03498	bmi:BMEA_A1551
ko:K12989	bmi:BMEA_A1554
ko:K03624	bmi:BMEA_A1555
ko:K09922	bmi:BMEA_A1559
ko:K10806	bmi:BMEA_A1561
ko:K03702	bmi:BMEA_A1563
ko:K03704	bmi:BMEA_A1565
ko:K07659	bmi:BMEA_A1573
ko:K07638	bmi:BMEA_A1574
ko:K06878	bmi:BMEA_A1577
ko:K13292	bmi:BMEA_A1582
ko:K05810	bmi:BMEA_A1584
ko:K12995	bmi:BMEA_A0577
ko:K10440	bmi:BMEA_A0580
ko:K10439	bmi:BMEA_A0582
ko:K02200	bmi:BMEA_A0645
ko:K02197	bmi:BMEA_A0646
ko:K01805	bmi:BMEA_A0585
ko:K00854	bmi:BMEA_A0586
ko:K02529	bmi:BMEA_A0587
ko:K02167	bmi:BMEA_A0591
ko:K07341	bmi:BMEA_A0594
ko:K03284	bmi:BMEA_A0596
ko:K03449	bmi:BMEA_A0598
ko:K06915	bmi:BMEA_A0600
ko:K04564	bmi:BMEA_A0604
ko:K01354	bmi:BMEA_A0607
ko:K02433	bmi:BMEA_A0613
ko:K02426	bmi:BMEA_A0614
ko:K11357	bmi:BMEA_A0616
ko:K05366	bmi:BMEA_A0622
ko:K02198	bmi:BMEA_A0647
ko:K02200	bmi:BMEA_A0648
ko:K00982	bmi:BMEA_A0652
ko:K07716	bmi:BMEA_A0654
ko:K01256	bmi:BMEA_A0655
ko:K00948	bmi:BMEA_A1587
ko:K06915	bmi:BMEA_A1588
ko:K02897	bmi:BMEA_A1590
ko:K01056	bmi:BMEA_A1591
ko:K06942	bmi:BMEA_A1592
ko:K00759	bmi:BMEA_A1595
ko:K06895	bmi:BMEA_A0711
ko:K01883	bmi:BMEA_A0714
ko:K01649	bmi:BMEA_A0715
ko:K05786	bmi:BMEA_A0716
ko:K02528	bmi:BMEA_A0718
ko:K00097	bmi:BMEA_A0719
ko:K03771	bmi:BMEA_A0720
ko:K04744	bmi:BMEA_A0721
ko:K11720	bmi:BMEA_A0722
ko:K07091	bmi:BMEA_A0723
ko:K01255	bmi:BMEA_A0725
ko:K02339	bmi:BMEA_A0726
ko:K06158	bmi:BMEA_A0728
ko:K00940	bmi:BMEA_A0730
ko:K09914	bmi:BMEA_A0731
ko:K03635	bmi:BMEA_A0732
ko:K03636	bmi:BMEA_A0733
ko:K03703	bmi:BMEA_A0735
ko:K07115	bmi:BMEA_A0743
ko:K11175	bmi:BMEA_A0747
ko:K00330	bmi:BMEA_A0844
ko:K00331	bmi:BMEA_A0845
ko:K00332	bmi:BMEA_A0846
ko:K00333	bmi:BMEA_A0847
ko:K00334	bmi:BMEA_A0848
ko:K00335	bmi:BMEA_A0849
ko:K00336	bmi:BMEA_A0850
ko:K00337	bmi:BMEA_A0851
ko:K00338	bmi:BMEA_A0852
ko:K00339	bmi:BMEA_A0853
ko:K00340	bmi:BMEA_A0854
ko:K00341	bmi:BMEA_A0855
ko:K00342	bmi:BMEA_A0856
ko:K00343	bmi:BMEA_A0857
ko:K03524	bmi:BMEA_A0858
ko:K01881	bmi:BMEA_A0862
ko:K09808	bmi:BMEA_A0863
ko:K02337	bmi:BMEA_A0865
ko:K02986	bmi:BMEA_A0869
ko:K07552	bmi:BMEA_A0872
ko:K07390	bmi:BMEA_A0874
ko:K01952	bmi:BMEA_A0876
ko:K01952	bmi:BMEA_A0879
ko:K01952	bmi:BMEA_A0880
ko:K01923	bmi:BMEA_A0881
ko:K01872	bmi:BMEA_A1245
ko:K03553	bmi:BMEA_A1246
ko:K07478	bmi:BMEA_A1250
