ko:K00759	sauc:CA347_1628
ko:K07462	sauc:CA347_1629
ko:K12257	sauc:CA347_1630
ko:K03210	sauc:CA347_1631
ko:K00773	sauc:CA347_1632
ko:K07568	sauc:CA347_1633
ko:K03551	sauc:CA347_1634
ko:K03550	sauc:CA347_1635
ko:K06209	sauc:CA347_1636
ko:K03979	sauc:CA347_1637
ko:K02899	sauc:CA347_1638
ko:K02888	sauc:CA347_1640
ko:K03571	sauc:CA347_1641
ko:K03570	sauc:CA347_1642
ko:K03453	sauc:CA347_2400
ko:K02749	sauc:CA347_2402
ko:K02750	sauc:CA347_2402
ko:K03481	sauc:CA347_2403
ko:K01468	sauc:CA347_2410
ko:K01712	sauc:CA347_2411
ko:K01807	sauc:CA347_2415
ko:K09771	sauc:CA347_2419
ko:K03652	sauc:CA347_2423
ko:K03312	sauc:CA347_2424
ko:K00240	sauc:CA347_1065
ko:K01776	sauc:CA347_1066
ko:K07095	sauc:CA347_1068
ko:K14200	sauc:CA347_1073
ko:K11032	sauc:CA347_1076
ko:K00611	sauc:CA347_1081
ko:K00926	sauc:CA347_1082
ko:K03925	sauc:CA347_1093
ko:K03438	sauc:CA347_1094
ko:K12552	sauc:CA347_1096
ko:K01000	sauc:CA347_1097
ko:K01925	sauc:CA347_1098
ko:K03589	sauc:CA347_1099
ko:K03590	sauc:CA347_1100
ko:K03531	sauc:CA347_1101
ko:K05810	sauc:CA347_1102
ko:K06997	sauc:CA347_1103
ko:K09772	sauc:CA347_1104
ko:K02221	sauc:CA347_1105
ko:K04074	sauc:CA347_1108
ko:K01870	sauc:CA347_1109
ko:K03101	sauc:CA347_1111
ko:K06180	sauc:CA347_1112
ko:K02825	sauc:CA347_1113
ko:K00609	sauc:CA347_1115
ko:K01465	sauc:CA347_1116
ko:K01956	sauc:CA347_1117
ko:K01955	sauc:CA347_1118
ko:K01591	sauc:CA347_1119
ko:K03564	sauc:CA347_1883
ko:K01845	sauc:CA347_1884
ko:K03575	sauc:CA347_1888
ko:K07038	sauc:CA347_1889
ko:K03565	sauc:CA347_1893
ko:K04478	sauc:CA347_1894
ko:K05520	sauc:CA347_1895
ko:K09765	sauc:CA347_2668
ko:K06978	sauc:CA347_2672
ko:K01579	sauc:CA347_2673
ko:K01918	sauc:CA347_2674
ko:K00606	sauc:CA347_2675
ko:K00077	sauc:CA347_2676
ko:K01575	sauc:CA347_2677
ko:K00823	sauc:CA347_2680
ko:K01623	sauc:CA347_2682
ko:K00116	sauc:CA347_2683
ko:K01895	sauc:CA347_2685
ko:K03300	sauc:CA347_2694
ko:K02304	sauc:CA347_2695
ko:K00432	sauc:CA347_2697
ko:K14192	sauc:CA347_2707
ko:K07705	sauc:CA347_268
ko:K02967	sauc:CA347_1174
ko:K02357	sauc:CA347_1175
ko:K09903	sauc:CA347_1176
ko:K02838	sauc:CA347_1177
ko:K00806	sauc:CA347_1178
ko:K00981	sauc:CA347_1179
ko:K11749	sauc:CA347_1180
ko:K01881	sauc:CA347_1181
ko:K03763	sauc:CA347_1182
ko:K09748	sauc:CA347_1183
ko:K02600	sauc:CA347_1184
ko:K07742	sauc:CA347_1185
ko:K02519	sauc:CA347_1187
ko:K02834	sauc:CA347_1188
ko:K11753	sauc:CA347_1190
ko:K02956	sauc:CA347_1191
ko:K00962	sauc:CA347_1192
ko:K03466	sauc:CA347_1194
ko:K00995	sauc:CA347_1201
ko:K09769	sauc:CA347_1206
ko:K00174	sauc:CA347_1207
ko:K00175	sauc:CA347_1208
ko:K06168	sauc:CA347_1210
ko:K03555	sauc:CA347_1213
ko:K03572	sauc:CA347_1214
ko:K02440	sauc:CA347_1216
ko:K00864	sauc:CA347_1217
ko:K00111	sauc:CA347_1218
ko:K00791	sauc:CA347_1220
ko:K03666	sauc:CA347_1221
ko:K00432	sauc:CA347_1222
ko:K03665	sauc:CA347_1223
ko:K01915	sauc:CA347_1226
ko:K01265	sauc:CA347_1975
ko:K02217	sauc:CA347_1980
ko:K02346	sauc:CA347_1982
ko:K03215	sauc:CA347_1984
ko:K02434	sauc:CA347_1987
ko:K02435	sauc:CA347_1989
ko:K01972	sauc:CA347_1992
ko:K03657	sauc:CA347_1993
ko:K01756	sauc:CA347_1996
ko:K08258	sauc:CA347_1997
ko:K00763	sauc:CA347_2002
ko:K00491	sauc:CA347_2003
ko:K14445	sauc:CA347_2005
ko:K00013	sauc:CA347_2758
ko:K00765	sauc:CA347_2759
ko:K07146	sauc:CA347_2764
ko:K01304	sauc:CA347_2765
ko:K03319	sauc:CA347_2768
ko:K05786	sauc:CA347_2769
ko:K07241	sauc:CA347_2771
ko:K11631	sauc:CA347_2774
ko:K11632	sauc:CA347_2775
ko:K03704	sauc:CA347_2778
ko:K03501	sauc:CA347_2783
ko:K03495	sauc:CA347_2784
ko:K03650	sauc:CA347_2785
ko:K03536	sauc:CA347_2786
ko:K02914	sauc:CA347_2787
ko:K03893	sauc:CA347_2804
ko:K02003	sauc:CA347_2809
ko:K03284	sauc:CA347_2426
ko:K07107	sauc:CA347_2427
ko:K07552	sauc:CA347_2434
ko:K09814	sauc:CA347_2438
ko:K09813	sauc:CA347_2439
ko:K00116	sauc:CA347_2447
ko:K03303	sauc:CA347_2448
ko:K05916	sauc:CA347_246
ko:K02773	sauc:CA347_252
ko:K02774	sauc:CA347_253
ko:K05352	sauc:CA347_259
ko:K07322	sauc:CA347_266
ko:K07704	sauc:CA347_267
ko:K05338	sauc:CA347_269
ko:K05339	sauc:CA347_270
ko:K03489	sauc:CA347_271
ko:K01223	sauc:CA347_273
ko:K06726	sauc:CA347_276
ko:K02529	sauc:CA347_278
ko:K01442	sauc:CA347_281
ko:K00375	sauc:CA347_533
ko:K06215	sauc:CA347_534
ko:K08681	sauc:CA347_535
ko:K11535	sauc:CA347_536
ko:K03696	sauc:CA347_540
ko:K04485	sauc:CA347_541
ko:K00640	sauc:CA347_544
ko:K01883	sauc:CA347_545
ko:K11145	sauc:CA347_546
ko:K03218	sauc:CA347_547
ko:K06962	sauc:CA347_548
ko:K03091	sauc:CA347_549
ko:K02913	sauc:CA347_550
ko:K03073	sauc:CA347_551
ko:K02601	sauc:CA347_552
ko:K02867	sauc:CA347_553
ko:K02863	sauc:CA347_554
ko:K02864	sauc:CA347_555
ko:K02935	sauc:CA347_556
ko:K03043	sauc:CA347_558
ko:K03046	sauc:CA347_559
ko:K07590	sauc:CA347_560
ko:K02950	sauc:CA347_561
ko:K02992	sauc:CA347_562
ko:K02355	sauc:CA347_563
