ko:K06131	bcf:bcf_10070
ko:K02372	bcf:bcf_14175
ko:K15554	bcf:bcf_14255
ko:K15553	bcf:bcf_14260
ko:K00615	bcf:bcf_18295
ko:K02042	bcf:bcf_18300
ko:K02042	bcf:bcf_18305
ko:K02041	bcf:bcf_18310
ko:K02044	bcf:bcf_18315
ko:K01356	bcf:bcf_18335
ko:K01915	bcf:bcf_18360
ko:K03665	bcf:bcf_18375
ko:K06413	bcf:bcf_18390
ko:K03666	bcf:bcf_18405
ko:K00791	bcf:bcf_18410
ko:K02768	bcf:bcf_18425
ko:K02769	bcf:bcf_18425
ko:K02770	bcf:bcf_18425
ko:K08976	bcf:bcf_18445
ko:K03530	bcf:bcf_18485
ko:K02013	bcf:bcf_18515
ko:K02015	bcf:bcf_18520
ko:K02015	bcf:bcf_18525
ko:K02016	bcf:bcf_18535
ko:K01698	bcf:bcf_22320
ko:K01749	bcf:bcf_22330
ko:K02497	bcf:bcf_22335
ko:K02492	bcf:bcf_22340
ko:K03978	bcf:bcf_22355
ko:K01338	bcf:bcf_22360
ko:K03544	bcf:bcf_22370
ko:K03545	bcf:bcf_22375
ko:K07095	bcf:bcf_22420
ko:K00989	bcf:bcf_22430
ko:K01776	bcf:bcf_22440
ko:K01994	bcf:bcf_22475
ko:K06188	bcf:bcf_22550
ko:K02557	bcf:bcf_22580
ko:K02556	bcf:bcf_22585
ko:K06381	bcf:bcf_26510
ko:K00790	bcf:bcf_26515
ko:K00343	bcf:bcf_26530
ko:K00342	bcf:bcf_26535
ko:K00341	bcf:bcf_26540
ko:K00340	bcf:bcf_26545
ko:K00339	bcf:bcf_26550
ko:K00338	bcf:bcf_26555
ko:K00337	bcf:bcf_26560
ko:K00333	bcf:bcf_26565
ko:K00332	bcf:bcf_26570
ko:K00331	bcf:bcf_26575
ko:K00330	bcf:bcf_26580
ko:K02114	bcf:bcf_26600
ko:K02112	bcf:bcf_26605
ko:K02115	bcf:bcf_26610
ko:K02111	bcf:bcf_26620
ko:K02113	bcf:bcf_26625
ko:K02109	bcf:bcf_26630
ko:K02110	bcf:bcf_26635
ko:K02108	bcf:bcf_26640
ko:K00761	bcf:bcf_26660
ko:K00600	bcf:bcf_26670
ko:K01808	bcf:bcf_26680
ko:K15977	bcf:bcf_26695
ko:K07566	bcf:bcf_26725
ko:K06387	bcf:bcf_26735
ko:K02493	bcf:bcf_26740
ko:K02835	bcf:bcf_26745
ko:K02909	bcf:bcf_26760
ko:K02548	bcf:bcf_15555
ko:K02003	bcf:bcf_15570
ko:K00876	bcf:bcf_15615
ko:K04045	bcf:bcf_15650
ko:K08987	bcf:bcf_15675
ko:K00648	bcf:bcf_15790
ko:K02259	bcf:bcf_19605
ko:K01845	bcf:bcf_02600
ko:K08713	bcf:bcf_02620
ko:K03564	bcf:bcf_02625
ko:K09136	bcf:bcf_02755
ko:K03216	bcf:bcf_02810
ko:K07180	bcf:bcf_02825
ko:K09786	bcf:bcf_02830
ko:K03300	bcf:bcf_02890
ko:K14188	bcf:bcf_06935
ko:K03739	bcf:bcf_06940
ko:K03367	bcf:bcf_06945
ko:K03839	bcf:bcf_06965
ko:K03327	bcf:bcf_07000
ko:K06153	bcf:bcf_07005
ko:K00826	bcf:bcf_07070
ko:K01652	bcf:bcf_07075
ko:K01653	bcf:bcf_07080
ko:K00053	bcf:bcf_07085
ko:K01649	bcf:bcf_07090
ko:K00052	bcf:bcf_07095
ko:K01703	bcf:bcf_07100
ko:K01704	bcf:bcf_07105
ko:K02502	bcf:bcf_07110
ko:K00765	bcf:bcf_07115
ko:K00013	bcf:bcf_07120
ko:K01693	bcf:bcf_07125
ko:K02501	bcf:bcf_07130
ko:K01814	bcf:bcf_07135
ko:K02500	bcf:bcf_07140
ko:K04486	bcf:bcf_07155
ko:K01586	bcf:bcf_07185
ko:K00390	bcf:bcf_07195
ko:K00958	bcf:bcf_07200
ko:K00860	bcf:bcf_07205
ko:K07152	bcf:bcf_11275
ko:K01953	bcf:bcf_11285
ko:K02016	bcf:bcf_11305
ko:K00824	bcf:bcf_11310
ko:K05847	bcf:bcf_11420
ko:K03758	bcf:bcf_11430
ko:K11686	bcf:bcf_11455
ko:K01034	bcf:bcf_11495
ko:K01438	bcf:bcf_11505
ko:K06714	bcf:bcf_11515
ko:K09822	bcf:bcf_15525
ko:K05577	bcf:bcf_15530
ko:K03924	bcf:bcf_15550
ko:K06406	bcf:bcf_20230
ko:K06405	bcf:bcf_20235
ko:K06404	bcf:bcf_20240
ko:K06403	bcf:bcf_20245
ko:K03308	bcf:bcf_20255
ko:K03091	bcf:bcf_20260
ko:K06379	bcf:bcf_20265
ko:K09807	bcf:bcf_20310
ko:K06901	bcf:bcf_20315
ko:K03284	bcf:bcf_20320
ko:K00756	bcf:bcf_20325
ko:K01839	bcf:bcf_20335
ko:K00874	bcf:bcf_24290
ko:K01042	bcf:bcf_24300
ko:K01465	bcf:bcf_24305
ko:K01911	bcf:bcf_24330
ko:K01661	bcf:bcf_24335
ko:K02551	bcf:bcf_24345
ko:K02548	bcf:bcf_24355
ko:K03704	bcf:bcf_24365
ko:K00688	bcf:bcf_24380
ko:K00703	bcf:bcf_24385
ko:K00975	bcf:bcf_24390
ko:K00975	bcf:bcf_24395
ko:K07507	bcf:bcf_24545
ko:K06956	bcf:bcf_21115
ko:K02563	bcf:bcf_21145
ko:K02913	bcf:bcf_21210
