ko:K02878	rpl:H375_8800
ko:K02904	rpl:H375_8810
ko:K02961	rpl:H375_8820
ko:K02874	rpl:H375_8830
ko:K02895	rpl:H375_8840
ko:K02931	rpl:H375_8850
ko:K02954	rpl:H375_8860
ko:K02994	rpl:H375_8870
ko:K02933	rpl:H375_8880
ko:K02881	rpl:H375_8890
ko:K02988	rpl:H375_8900
ko:K02907	rpl:H375_8910
ko:K02876	rpl:H375_8920
ko:K03076	rpl:H375_8930
ko:K02952	rpl:H375_8950
ko:K02948	rpl:H375_8960
ko:K03040	rpl:H375_8970
ko:K02879	rpl:H375_8980
ko:K02968	rpl:H375_8990
ko:K02028	rpl:H375_6460
ko:K14236	rpl:H375_t120
ko:K14224	rpl:H375_t190
ko:K03536	rpl:H375_20
ko:K01985	rpl:H375_r10
ko:K00951	rpl:H375_9060
ko:K17103	rpl:H375_3750
ko:K01980	rpl:H375_r30
ko:K14222	rpl:H375_t250
ko:K14232	rpl:H375_t180
ko:K14237	rpl:H375_t300
ko:K14225	rpl:H375_t130
ko:K14228	rpl:H375_t150
ko:K14219	rpl:H375_t310
ko:K14219	rpl:H375_t280
ko:K14233	rpl:H375_t170
ko:K14233	rpl:H375_t40
ko:K14233	rpl:H375_t50
ko:K14226	rpl:H375_t160
ko:K14237	rpl:H375_t140
ko:K01977	rpl:H375_r20
ko:K14225	rpl:H375_t330
ko:K14218	rpl:H375_t10
ko:K14218	rpl:H375_t20
ko:K14221	rpl:H375_t290
ko:K14223	rpl:H375_t30
ko:K14227	rpl:H375_t270
ko:K14229	rpl:H375_t260
ko:K14220	rpl:H375_t240
ko:K14230	rpl:H375_t230
ko:K14234	rpl:H375_t60
ko:K14231	rpl:H375_t70
ko:K14228	rpl:H375_t90
ko:K08316	rpl:H375_700
ko:K14235	rpl:H375_t220
ko:K14230	rpl:H375_t210
ko:K14230	rpl:H375_t110
ko:K14234	rpl:H375_t200
ko:K14234	rpl:H375_t80
ko:K14228	rpl:H375_t320
ko:K14219	rpl:H375_t100
ko:K02887	rpl:H375_40
ko:K02914	rpl:H375_30
ko:K05540	rpl:H375_6200
ko:K01840	rpl:H375_1040
ko:K01791	rpl:H375_2760
ko:K12574	rpl:H375_1680
ko:K15270	rpl:H375_5540
ko:K05973	rpl:H375_8510
ko:K11528	rpl:H375_1560
ko:K06867	rpl:H375_3920
ko:K06900	rpl:H375_120
ko:K02622	rpl:H375_3900
ko:K01868	rpl:H375_3980
ko:K06916	rpl:H375_4090
ko:K00164	rpl:H375_4440
ko:K07735	rpl:H375_5990
ko:K02259	rpl:H375_3590
ko:K04487	rpl:H375_1240
ko:K03446	rpl:H375_4700
ko:K02488	rpl:H375_3800
ko:K02488	rpl:H375_3810
ko:K05367	rpl:H375_4270
ko:K18588	rpl:H375_4610
ko:K18587	rpl:H375_9190
ko:K18707	rpl:H375_1930
ko:K06147	rpl:H375_4060
ko:K03201	rpl:H375_5210
ko:K03201	rpl:H375_5220
ko:K03201	rpl:H375_5230
ko:K03201	rpl:H375_5250
ko:K03201	rpl:H375_5260
ko:K03497	rpl:H375_5710
ko:K03496	rpl:H375_5720
ko:K03496	rpl:H375_4860
ko:K03111	rpl:H375_6830
ko:K03205	rpl:H375_3230
ko:K03196	rpl:H375_3240
ko:K03204	rpl:H375_3260
ko:K03203	rpl:H375_3280
ko:K03204	rpl:H375_3290
ko:K03203	rpl:H375_3270
ko:K16898	rpl:H375_7900
ko:K16899	rpl:H375_2060
ko:K00336	rpl:H375_7260
ko:K04771	rpl:H375_5050
ko:K06867	rpl:H375_8090
ko:K09690	rpl:H375_6260
ko:K09796	rpl:H375_410
ko:K00507	rpl:H375_5930
ko:K03198	rpl:H375_5280
ko:K03199	rpl:H375_7380
ko:K04755	rpl:H375_4200
ko:K03195	rpl:H375_3250
ko:K03199	rpl:H375_5270
ko:K01520	rpl:H375_2100
ko:K03465	rpl:H375_3130
ko:K03676	rpl:H375_4150
ko:K03553	rpl:H375_7620
ko:K02316	rpl:H375_6560
ko:K02314	rpl:H375_720
ko:K06889	rpl:H375_2670
ko:K07552	rpl:H375_110
ko:K00525	rpl:H375_990
ko:K00526	rpl:H375_1000
ko:K02335	rpl:H375_7470
ko:K10026	rpl:H375_60
ko:K21929	rpl:H375_6720
ko:K03595	rpl:H375_5110
ko:K11991	rpl:H375_6880
ko:K02257	rpl:H375_2640
