ko:K03885	cor:Cp267_1057
ko:K00574	cor:Cp267_1058
ko:K03820	cor:Cp267_1065
ko:K07113	cor:Cp267_1066
ko:K02230	cor:Cp267_1067
ko:K02229	cor:Cp267_1068
ko:K06042	cor:Cp267_1069
ko:K04077	cor:Cp267_1877
ko:K05567	cor:Cp267_1884
ko:K05569	cor:Cp267_1886
ko:K05571	cor:Cp267_1888
ko:K06048	cor:Cp267_1890
ko:K01462	cor:Cp267_1893
ko:K01142	cor:Cp267_1895
ko:K06131	cor:Cp267_1896
ko:K00925	cor:Cp267_1903
ko:K13788	cor:Cp267_1904
ko:K00528	cor:Cp267_1905
ko:K08289	cor:Cp267_1908
ko:K07101	cor:Cp267_1909
ko:K07399	cor:Cp267_1917
ko:K03385	cor:Cp267_1919
ko:K15876	cor:Cp267_1920
ko:K01939	cor:Cp267_1921
ko:K03310	cor:Cp267_1390
ko:K03685	cor:Cp267_1392
ko:K07040	cor:Cp267_1393
ko:K00259	cor:Cp267_1396
ko:K00262	cor:Cp267_1397
ko:K00865	cor:Cp267_1398
ko:K00688	cor:Cp267_1402
ko:K00873	cor:Cp267_1404
ko:K01609	cor:Cp267_1406
ko:K02500	cor:Cp267_1409
ko:K02501	cor:Cp267_1412
ko:K01693	cor:Cp267_1415
ko:K00817	cor:Cp267_1416
ko:K00013	cor:Cp267_1417
ko:K04762	cor:Cp267_1427
ko:K01754	cor:Cp267_1430
ko:K02337	cor:Cp267_1431
ko:K05786	cor:Cp267_1432
ko:K06180	cor:Cp267_1434
ko:K03101	cor:Cp267_1435
ko:K02346	cor:Cp267_1439
ko:K01870	cor:Cp267_1440
ko:K02221	cor:Cp267_1443
ko:K06942	cor:Cp267_0779
ko:K06193	cor:Cp267_0782
ko:K09781	cor:Cp267_0786
ko:K00077	cor:Cp267_0787
ko:K06207	cor:Cp267_0801
ko:K06966	cor:Cp267_0814
ko:K00796	cor:Cp267_0815
ko:K00563	cor:Cp267_0819
ko:K01193	cor:Cp267_0820
ko:K01575	cor:Cp267_0821
ko:K00975	cor:Cp267_0823
ko:K03088	cor:Cp267_0825
ko:K03117	cor:Cp267_0827
ko:K14232	cor:Cp267_t36
ko:K16147	cor:Cp267_0893
ko:K16148	cor:Cp267_0822
ko:K16164	cor:Cp267_0160
ko:K10716	cor:Cp267_0565
ko:K14235	cor:Cp267_t16
ko:K02028	cor:Cp267_0964
ko:K15733	cor:Cp267_1242
ko:K14232	cor:Cp267_t11
ko:K01104	cor:Cp267_1557
ko:K02566	cor:Cp267_1565
ko:K03711	cor:Cp267_1583
ko:K01823	cor:Cp267_1603
ko:K06147	cor:Cp267_1607
ko:K00852	cor:Cp267_0504
ko:K01966	cor:Cp267_0507
ko:K01966	cor:Cp267_0508
ko:K02025	cor:Cp267_0517
