ko:K01223	lmh:LMHCC_2314
ko:K00788	lmh:LMHCC_2315
ko:K00878	lmh:LMHCC_2317
ko:K03707	lmh:LMHCC_2318
ko:K00558	lmh:LMHCC_2320
ko:K00759	lmh:LMHCC_1045
ko:K07560	lmh:LMHCC_1047
ko:K01448	lmh:LMHCC_1048
ko:K01892	lmh:LMHCC_1049
ko:K02388	lmh:LMHCC_1914
ko:K02387	lmh:LMHCC_1915
ko:K02422	lmh:LMHCC_1917
ko:K02407	lmh:LMHCC_1918
ko:K02397	lmh:LMHCC_1919
ko:K02396	lmh:LMHCC_1920
