ko:K11069	tpm:TPESAMD_0655
ko:K03406	tpm:TPESAMD_0639
ko:K03563	tpm:TPESAMD_0657
ko:K13626	tpm:TPESAMD_0658
ko:K02397	tpm:TPESAMD_0659
ko:K02396	tpm:TPESAMD_0660
ko:K01624	tpm:TPESAMD_0662
ko:K03406	tpm:TPESAMD_0640
ko:K01892	tpm:TPESAMD_0641
ko:K04562	tpm:TPESAMD_0712
ko:K02404	tpm:TPESAMD_0713
ko:K02400	tpm:TPESAMD_0714
ko:K02401	tpm:TPESAMD_0715
ko:K02421	tpm:TPESAMD_0716
ko:K02420	tpm:TPESAMD_0717
ko:K02419	tpm:TPESAMD_0718
ko:K02418	tpm:TPESAMD_0719
ko:K02417	tpm:TPESAMD_0720
ko:K02416	tpm:TPESAMD_0721
ko:K02415	tpm:TPESAMD_0722
ko:K02557	tpm:TPESAMD_0724
ko:K02556	tpm:TPESAMD_0725
ko:K02385	tpm:TPESAMD_0726
ko:K02390	tpm:TPESAMD_0727
ko:K02389	tpm:TPESAMD_0728
ko:K00995	tpm:TPESAMD_0730
ko:K01491	tpm:TPESAMD_0732
ko:K03784	tpm:TPESAMD_0734
ko:K00266	tpm:TPESAMD_0735
ko:K00528	tpm:TPESAMD_0736
ko:K09710	tpm:TPESAMD_0738
ko:K00969	tpm:TPESAMD_0741
ko:K02899	tpm:TPESAMD_0743
ko:K07584	tpm:TPESAMD_0744
ko:K02888	tpm:TPESAMD_0745
ko:K01006	tpm:TPESAMD_0746
ko:K06168	tpm:TPESAMD_0754
ko:K02806	tpm:TPESAMD_0755
ko:K00604	tpm:TPESAMD_0756
ko:K01462	tpm:TPESAMD_0757
ko:K02970	tpm:TPESAMD_0758
ko:K02338	tpm:TPESAMD_0002
ko:K03629	tpm:TPESAMD_0003
ko:K02469	tpm:TPESAMD_0005
ko:K01890	tpm:TPESAMD_0015
ko:K03308	tpm:TPESAMD_0023
ko:K03499	tpm:TPESAMD_0024
ko:K02410	tpm:TPESAMD_0026
ko:K00790	tpm:TPESAMD_0029
ko:K04077	tpm:TPESAMD_0030
ko:K09761	tpm:TPESAMD_0032
ko:K09815	tpm:TPESAMD_0034
ko:K09817	tpm:TPESAMD_0035
ko:K09816	tpm:TPESAMD_0036
ko:K03778	tpm:TPESAMD_0037
ko:K07035	tpm:TPESAMD_0038
ko:K08309	tpm:TPESAMD_0043
ko:K03495	tpm:TPESAMD_0044
ko:K01488	tpm:TPESAMD_0045
ko:K09770	tpm:TPESAMD_0047
ko:K07101	tpm:TPESAMD_0050
ko:K02906	tpm:TPESAMD_0189
ko:K07107	tpm:TPESAMD_0156
ko:K02926	tpm:TPESAMD_0190
ko:K07025	tpm:TPESAMD_0158
ko:K01881	tpm:TPESAMD_0160
ko:K03551	tpm:TPESAMD_0162
ko:K11707	tpm:TPESAMD_0163
ko:K02892	tpm:TPESAMD_0191
ko:K02886	tpm:TPESAMD_0192
ko:K02965	tpm:TPESAMD_0193
ko:K02890	tpm:TPESAMD_0194
ko:K02982	tpm:TPESAMD_0195
ko:K02878	tpm:TPESAMD_0196
ko:K02904	tpm:TPESAMD_0197
ko:K02961	tpm:TPESAMD_0198
ko:K02874	tpm:TPESAMD_0199
ko:K02895	tpm:TPESAMD_0200
ko:K02931	tpm:TPESAMD_0201
ko:K02954	tpm:TPESAMD_0202
ko:K02395	tpm:TPESAMD_0959
ko:K02392	tpm:TPESAMD_0960
ko:K11710	tpm:TPESAMD_0164
ko:K02392	tpm:TPESAMD_0961
ko:K02004	tpm:TPESAMD_0962
ko:K02004	tpm:TPESAMD_0963
ko:K02003	tpm:TPESAMD_0964
ko:K07230	tpm:TPESAMD_0971
ko:K07243	tpm:TPESAMD_0972
ko:K01889	tpm:TPESAMD_0973
ko:K11708	tpm:TPESAMD_0165
ko:K07056	tpm:TPESAMD_0975
ko:K03101	tpm:TPESAMD_0978
ko:K11709	tpm:TPESAMD_0166
ko:K03424	tpm:TPESAMD_0979
ko:K04079	tpm:TPESAMD_0984
ko:K01876	tpm:TPESAMD_0985
ko:K03642	tpm:TPESAMD_0993
ko:K03424	tpm:TPESAMD_0994
ko:K04773	tpm:TPESAMD_0997
ko:K03709	tpm:TPESAMD_0167
ko:K01243	tpm:TPESAMD_0170
ko:K03310	tpm:TPESAMD_0998
ko:K03466	tpm:TPESAMD_0999
ko:K07566	tpm:TPESAMD_0182
ko:K06187	tpm:TPESAMD_1004
ko:K03664	tpm:TPESAMD_0184
ko:K02343	tpm:TPESAMD_1005
ko:K02470	tpm:TPESAMD_1006
ko:K03100	tpm:TPESAMD_0185
ko:K02358	tpm:TPESAMD_0187
ko:K02946	tpm:TPESAMD_0188
ko:K00655	tpm:TPESAMD_0361
ko:K00384	tpm:TPESAMD_0814
ko:K06976	tpm:TPESAMD_0815
ko:K01689	tpm:TPESAMD_0817
ko:K00784	tpm:TPESAMD_0819
ko:K02073	tpm:TPESAMD_0821
ko:K05919	tpm:TPESAMD_0823
ko:K01662	tpm:TPESAMD_0824
ko:K02835	tpm:TPESAMD_0051
