ko:K07056	hiu:HIB_18330
ko:K07121	hiu:HIB_18340
ko:K07460	hiu:HIB_18350
ko:K03271	hiu:HIB_18360
ko:K03701	hiu:HIB_03080
ko:K03832	hiu:HIB_03100
ko:K03561	hiu:HIB_03120
ko:K03564	hiu:HIB_03130
ko:K01714	hiu:HIB_03140
ko:K07287	hiu:HIB_03150
ko:K05809	hiu:HIB_03160
ko:K11211	hiu:HIB_03190
ko:K01633	hiu:HIB_03240
ko:K08591	hiu:HIB_03250
ko:K07674	hiu:HIB_03260
ko:K00075	hiu:HIB_03270
ko:K03089	hiu:HIB_03280
ko:K05541	hiu:HIB_03290
ko:K05801	hiu:HIB_03300
ko:K00762	hiu:HIB_03310
ko:K00989	hiu:HIB_03320
ko:K09688	hiu:HIB_11720
ko:K09689	hiu:HIB_11730
ko:K02064	hiu:HIB_11890
ko:K02063	hiu:HIB_11900
ko:K01012	hiu:HIB_11920
ko:K00615	hiu:HIB_11930
ko:K01079	hiu:HIB_11950
ko:K09767	hiu:HIB_11960
ko:K03284	hiu:HIB_11970
ko:K02221	hiu:HIB_11980
ko:K07306	hiu:HIB_12080
ko:K03470	hiu:HIB_12180
ko:K00748	hiu:HIB_12190
ko:K00677	hiu:HIB_12200
ko:K02372	hiu:HIB_12210
ko:K09903	hiu:HIB_12230
ko:K04013	hiu:HIB_12260
ko:K01443	hiu:HIB_01930
ko:K00885	hiu:HIB_01970
ko:K04087	hiu:HIB_02030
ko:K04088	hiu:HIB_02040
ko:K06133	hiu:HIB_02050
ko:K02078	hiu:HIB_02070
ko:K00645	hiu:HIB_02090
ko:K00648	hiu:HIB_02100
ko:K02911	hiu:HIB_02110
ko:K07040	hiu:HIB_02120
ko:K01613	hiu:HIB_02130
ko:K07286	hiu:HIB_02150
ko:K05527	hiu:HIB_02160
ko:K00346	hiu:HIB_02170
ko:K00347	hiu:HIB_02180
ko:K00348	hiu:HIB_02190
ko:K00349	hiu:HIB_02200
ko:K00350	hiu:HIB_02210
ko:K00351	hiu:HIB_02220
ko:K03734	hiu:HIB_02230
ko:K05952	hiu:HIB_02240
ko:K00566	hiu:HIB_02250
ko:K05810	hiu:HIB_02260
ko:K06180	hiu:HIB_02270
ko:K05807	hiu:HIB_02280
ko:K04069	hiu:HIB_02300
ko:K00656	hiu:HIB_02310
ko:K03310	hiu:HIB_02340
ko:K01070	hiu:HIB_02350
ko:K03116	hiu:HIB_02380
ko:K03117	hiu:HIB_02390
ko:K03118	hiu:HIB_02400
ko:K00262	hiu:HIB_02410
ko:K03839	hiu:HIB_02430
ko:K03645	hiu:HIB_02450
ko:K01911	hiu:HIB_02460
ko:K05802	hiu:HIB_02470
ko:K01879	hiu:HIB_10620
ko:K01878	hiu:HIB_10650
ko:K03781	hiu:HIB_10660
ko:K01689	hiu:HIB_10700
ko:K07007	hiu:HIB_10710
ko:K02199	hiu:HIB_10730
ko:K04016	hiu:HIB_10740
ko:K02679	hiu:HIB_10760
ko:K02680	hiu:HIB_10770
ko:K02681	hiu:HIB_10790
ko:K03583	hiu:HIB_10800
ko:K07738	hiu:HIB_10810
ko:K11752	hiu:HIB_10820
ko:K04691	hiu:HIB_10830
ko:K13745	hiu:HIB_10850
ko:K00836	hiu:HIB_10880
ko:K02913	hiu:HIB_10890
ko:K02902	hiu:HIB_10900
ko:K03630	hiu:HIB_10910
ko:K13038	hiu:HIB_10920
ko:K05501	hiu:HIB_10940
ko:K03212	hiu:HIB_10970
ko:K01207	hiu:HIB_10980
ko:K01870	hiu:HIB_11010
ko:K11753	hiu:HIB_11020
ko:K03980	hiu:HIB_11030
ko:K02968	hiu:HIB_11040
ko:K01661	hiu:HIB_11060
ko:K03786	hiu:HIB_11080
ko:K02160	hiu:HIB_11090
ko:K01961	hiu:HIB_11100
ko:K14392	hiu:HIB_11140
ko:K03707	hiu:HIB_04700
ko:K11606	hiu:HIB_04710
ko:K11605	hiu:HIB_04720
ko:K07262	hiu:HIB_04750
ko:K06941	hiu:HIB_04760
ko:K02656	hiu:HIB_04770
ko:K15539	hiu:HIB_04780
ko:K01892	hiu:HIB_04800
ko:K04755	hiu:HIB_04830
ko:K04044	hiu:HIB_04840
ko:K04082	hiu:HIB_04860
ko:K04487	hiu:HIB_04890
ko:K13643	hiu:HIB_04900
ko:K15396	hiu:HIB_04910
ko:K03640	hiu:HIB_04920
ko:K03641	hiu:HIB_04930
ko:K03562	hiu:HIB_04960
ko:K07107	hiu:HIB_04970
ko:K07285	hiu:HIB_05000
ko:K03684	hiu:HIB_05020
ko:K06942	hiu:HIB_05040
ko:K01056	hiu:HIB_05050
ko:K09801	hiu:HIB_05060
ko:K03601	hiu:HIB_05080
ko:K03651	hiu:HIB_05100
ko:K06076	hiu:HIB_05120
ko:K03573	hiu:HIB_05140
ko:K04075	hiu:HIB_05150
ko:K00868	hiu:HIB_05160
ko:K01962	hiu:HIB_05170
