ko:K16962	bamt:AJ82_02150
ko:K16963	bamt:AJ82_02155
ko:K02003	bamt:AJ82_02170
ko:K02004	bamt:AJ82_02175
ko:K00928	bamt:AJ82_02220
ko:K02015	bamt:AJ82_02235
ko:K02015	bamt:AJ82_02240
ko:K02013	bamt:AJ82_02245
ko:K02016	bamt:AJ82_02250
ko:K00375	bamt:AJ82_02280
ko:K07250	bamt:AJ82_02285
ko:K00135	bamt:AJ82_02290
ko:K05340	bamt:AJ82_02300
ko:K00034	bamt:AJ82_02305
ko:K14166	bamt:AJ82_02315
ko:K07736	bamt:AJ82_03005
ko:K07090	bamt:AJ82_03040
ko:K01779	bamt:AJ82_03050
ko:K07032	bamt:AJ82_03115
ko:K16264	bamt:AJ82_03120
ko:K07222	bamt:AJ82_03125
ko:K01714	bamt:AJ82_03145
ko:K13979	bamt:AJ82_03180
ko:K07734	bamt:AJ82_03210
ko:K00375	bamt:AJ82_03265
ko:K06439	bamt:AJ82_03270
ko:K00121	bamt:AJ82_03280
ko:K00661	bamt:AJ82_03305
ko:K11623	bamt:AJ82_03310
ko:K07010	bamt:AJ82_03325
ko:K06872	bamt:AJ82_03665
ko:K03088	bamt:AJ82_03690
ko:K00004	bamt:AJ82_03695
ko:K06324	bamt:AJ82_03720
ko:K11735	bamt:AJ82_03725
ko:K03924	bamt:AJ82_03740
ko:K01951	bamt:AJ82_03760
ko:K03088	bamt:AJ82_03765
ko:K06901	bamt:AJ82_03775
ko:K01588	bamt:AJ82_03820
ko:K01589	bamt:AJ82_03825
ko:K01756	bamt:AJ82_03830
ko:K01923	bamt:AJ82_03835
ko:K01952	bamt:AJ82_03840
ko:K01952	bamt:AJ82_03845
ko:K01952	bamt:AJ82_03850
ko:K00764	bamt:AJ82_03855
ko:K01933	bamt:AJ82_03860
ko:K11175	bamt:AJ82_03865
ko:K00602	bamt:AJ82_03870
ko:K01945	bamt:AJ82_03875
ko:K01486	bamt:AJ82_03885
ko:K07094	bamt:AJ82_03910
ko:K03657	bamt:AJ82_03915
ko:K01972	bamt:AJ82_03920
ko:K07507	bamt:AJ82_03935
ko:K03307	bamt:AJ82_03940
ko:K02435	bamt:AJ82_03945
ko:K02433	bamt:AJ82_03950
ko:K02434	bamt:AJ82_03955
ko:K03215	bamt:AJ82_03975
ko:K03427	bamt:AJ82_03980
ko:K01154	bamt:AJ82_03985
ko:K01153	bamt:AJ82_03990
ko:K00491	bamt:AJ82_04375
ko:K01512	bamt:AJ82_04380
ko:K01265	bamt:AJ82_04405
ko:K02803	bamt:AJ82_04410
ko:K02804	bamt:AJ82_04410
ko:K13993	bamt:AJ82_04430
ko:K02818	bamt:AJ82_04445
ko:K02819	bamt:AJ82_04445
ko:K01226	bamt:AJ82_04450
