ko:K09810	xoz:BE73_12590
ko:K09808	xoz:BE73_12595
ko:K19168	xoz:BE73_12600
ko:K09159	xoz:BE73_12605
ko:K00240	xoz:BE73_12610
ko:K00239	xoz:BE73_12620
ko:K00242	xoz:BE73_12625
ko:K00241	xoz:BE73_12630
ko:K06980	xoz:BE73_12635
ko:K10112	xoz:BE73_12640
ko:K00036	xoz:BE73_12645
ko:K00845	xoz:BE73_12650
ko:K01057	xoz:BE73_12655
ko:K01690	xoz:BE73_12660
ko:K01625	xoz:BE73_12665
ko:K07481	xoz:BE73_12670
ko:K07497	xoz:BE73_12690
ko:K11904	xoz:BE73_17320
ko:K01256	xoz:BE73_17335
ko:K01939	xoz:BE73_17340
ko:K09937	xoz:BE73_17345
ko:K04087	xoz:BE73_17350
ko:K04088	xoz:BE73_17355
ko:K02658	xoz:BE73_17360
ko:K05516	xoz:BE73_17365
ko:K13993	xoz:BE73_17370
ko:K03594	xoz:BE73_17380
ko:K07497	xoz:BE73_17385
ko:K01126	xoz:BE73_17400
ko:K02014	xoz:BE73_17420
ko:K00274	xoz:BE73_17445
ko:K10716	xoz:BE73_17475
ko:K07157	xoz:BE73_17515
ko:K02558	xoz:BE73_17520
ko:K00939	xoz:BE73_17525
ko:K07481	xoz:BE73_17535
