ko:K02890	llt:CVCAS_2078
ko:K02965	llt:CVCAS_2079
ko:K02886	llt:CVCAS_2080
ko:K02892	llt:CVCAS_2081
ko:K02926	llt:CVCAS_2082
ko:K02906	llt:CVCAS_2083
ko:K03763	llt:CVCAS_2160
ko:K01881	llt:CVCAS_2163
ko:K11749	llt:CVCAS_2164
ko:K00981	llt:CVCAS_2165
ko:K00806	llt:CVCAS_2166
ko:K03210	llt:CVCAS_2167
ko:K00783	llt:CVCAS_2169
ko:K02357	llt:CVCAS_2181
ko:K02967	llt:CVCAS_2182
ko:K04072	llt:CVCAS_2184
ko:K02003	llt:CVCAS_2305
ko:K03704	llt:CVCAS_2308
ko:K01807	llt:CVCAS_2318
ko:K03650	llt:CVCAS_2328
ko:K03655	llt:CVCAS_2330
ko:K06193	llt:CVCAS_2331
ko:K00134	llt:CVCAS_2332
ko:K01153	llt:CVCAS_pB0003
ko:K03427	llt:CVCAS_pB0004
ko:K01154	llt:CVCAS_pB0005
ko:K08177	llt:CVCAS_pB0013
ko:K03777	llt:CVCAS_pB0018
ko:K04095	llt:CVCAS_pB0033
ko:K02313	llt:CVCAS_0001
ko:K02338	llt:CVCAS_0002
ko:K06871	llt:CVCAS_0054
ko:K00382	llt:CVCAS_0056
ko:K00627	llt:CVCAS_0057
ko:K00162	llt:CVCAS_0058
ko:K00161	llt:CVCAS_0059
ko:K03800	llt:CVCAS_0060
ko:K01126	llt:CVCAS_0061
ko:K06950	llt:CVCAS_0062
ko:K01867	llt:CVCAS_0063
ko:K03621	llt:CVCAS_0066
ko:K01740	llt:CVCAS_0070
ko:K06999	llt:CVCAS_0074
ko:K15975	llt:CVCAS_0075
ko:K02913	llt:CVCAS_0079
ko:K02911	llt:CVCAS_0080
ko:K07478	llt:CVCAS_0083
ko:K02687	llt:CVCAS_0089
ko:K09761	llt:CVCAS_0090
ko:K07560	llt:CVCAS_0094
ko:K00655	llt:CVCAS_0098
ko:K01118	llt:CVCAS_0100
ko:K03070	llt:CVCAS_0101
ko:K01626	llt:CVCAS_0102
ko:K09747	llt:CVCAS_0106
ko:K06941	llt:CVCAS_0160
ko:K02548	llt:CVCAS_0163
ko:K04759	llt:CVCAS_0166
ko:K04758	llt:CVCAS_0167
ko:K02902	llt:CVCAS_0171
ko:K00973	llt:CVCAS_0173
ko:K01790	llt:CVCAS_0175
ko:K00067	llt:CVCAS_0180
ko:K03665	llt:CVCAS_0205
ko:K07574	llt:CVCAS_0206
ko:K00969	llt:CVCAS_0207
ko:K09710	llt:CVCAS_0210
ko:K02016	llt:CVCAS_0315
ko:K03387	llt:CVCAS_0323
ko:K00687	llt:CVCAS_0324
ko:K06187	llt:CVCAS_0325
ko:K01921	llt:CVCAS_0326
ko:K01929	llt:CVCAS_0327
ko:K15580	llt:CVCAS_0328
ko:K15580	llt:CVCAS_0330
ko:K15581	llt:CVCAS_0331
ko:K02837	llt:CVCAS_0335
ko:K05592	llt:CVCAS_0336
ko:K01953	llt:CVCAS_0339
ko:K00858	llt:CVCAS_0350
ko:K06180	llt:CVCAS_0351
ko:K03734	llt:CVCAS_0355
ko:K04567	llt:CVCAS_0356
ko:K03151	llt:CVCAS_0362
ko:K01118	llt:CVCAS_0364
ko:K03086	llt:CVCAS_0462
ko:K02445	llt:CVCAS_0464
ko:K00134	llt:CVCAS_0468
ko:K01462	llt:CVCAS_0469
ko:K08311	llt:CVCAS_0470
ko:K03702	llt:CVCAS_0471
ko:K01438	llt:CVCAS_0473
ko:K00208	llt:CVCAS_0475
ko:K03217	llt:CVCAS_0479
ko:K01821	llt:CVCAS_0484
ko:K03827	llt:CVCAS_0486
ko:K02835	llt:CVCAS_0505
ko:K02493	llt:CVCAS_0508
ko:K07566	llt:CVCAS_0510
ko:K00600	llt:CVCAS_0511
ko:K00831	llt:CVCAS_0513
ko:K01647	llt:CVCAS_0567
ko:K01681	llt:CVCAS_0568
ko:K00031	llt:CVCAS_0569
ko:K01358	llt:CVCAS_0570
ko:K11936	llt:CVCAS_0577
ko:K03311	llt:CVCAS_0582
ko:K06975	llt:CVCAS_0583
ko:K03484	llt:CVCAS_0600
ko:K01193	llt:CVCAS_0601
ko:K03704	llt:CVCAS_0606
ko:K03427	llt:CVCAS_0609
ko:K01154	llt:CVCAS_0610
ko:K01153	llt:CVCAS_0611
ko:K02529	llt:CVCAS_0686
ko:K01911	llt:CVCAS_0689
ko:K01661	llt:CVCAS_0690
ko:K02551	llt:CVCAS_0693
ko:K00928	llt:CVCAS_0702
ko:K07001	llt:CVCAS_0703
ko:K02939	llt:CVCAS_0707
ko:K03439	llt:CVCAS_0711
ko:K07738	llt:CVCAS_0712
ko:K03977	llt:CVCAS_0718
ko:K09748	llt:CVCAS_0726
ko:K02600	llt:CVCAS_0727
ko:K07742	llt:CVCAS_0728
ko:K02519	llt:CVCAS_0730
ko:K02834	llt:CVCAS_0731
ko:K01809	llt:CVCAS_0732
ko:K03530	llt:CVCAS_0841
ko:K01421	llt:CVCAS_0843
ko:K03588	llt:CVCAS_0847
ko:K02954	llt:CVCAS_0849
ko:K05837	llt:CVCAS_0857
ko:K02470	llt:CVCAS_0868
ko:K01839	llt:CVCAS_0894
ko:K01878	llt:CVCAS_1068
ko:K01736	llt:CVCAS_1682
ko:K09936	llt:CVCAS_1685
ko:K01735	llt:CVCAS_1686
ko:K00014	llt:CVCAS_1687
ko:K03975	llt:CVCAS_1688
ko:K02114	llt:CVCAS_1694
ko:K02112	llt:CVCAS_1695
ko:K02115	llt:CVCAS_1697
ko:K02111	llt:CVCAS_1698
ko:K02113	llt:CVCAS_1699
ko:K02109	llt:CVCAS_1700
ko:K02108	llt:CVCAS_1701
ko:K02110	llt:CVCAS_1702
ko:K02237	llt:CVCAS_1705
ko:K03823	llt:CVCAS_1709
ko:K03707	llt:CVCAS_1711
ko:K03524	llt:CVCAS_1713
ko:K03523	llt:CVCAS_1714
ko:K09014	llt:CVCAS_1721
ko:K11717	llt:CVCAS_1724
ko:K09015	llt:CVCAS_1725
ko:K09013	llt:CVCAS_1726
ko:K03046	llt:CVCAS_1732
ko:K03043	llt:CVCAS_1733
ko:K07443	llt:CVCAS_1737
