ko:K07568	ccq:N149_1235
ko:K02536	ccq:N149_1236
ko:K01653	ccq:N149_1237
ko:K01652	ccq:N149_1238
ko:K09117	ccq:N149_1239
ko:K02003	ccq:N149_0091
ko:K02004	ccq:N149_0092
ko:K02004	ccq:N149_0093
ko:K07230	ccq:N149_0095
ko:K07243	ccq:N149_0096
ko:K03313	ccq:N149_0098
ko:K03313	ccq:N149_0099
ko:K01776	ccq:N149_0101
ko:K01265	ccq:N149_0102
ko:K02067	ccq:N149_0105
ko:K02065	ccq:N149_0106
ko:K02066	ccq:N149_0107
ko:K00615	ccq:N149_0108
ko:K00795	ccq:N149_0109
ko:K09747	ccq:N149_0111
ko:K01928	ccq:N149_0112
ko:K03469	ccq:N149_0117
ko:K03685	ccq:N149_0118
ko:K01736	ccq:N149_0119
ko:K00566	ccq:N149_0121
ko:K03559	ccq:N149_0124
ko:K03561	ccq:N149_0125
ko:K03837	ccq:N149_0128
ko:K01752	ccq:N149_0129
ko:K11752	ccq:N149_0131
ko:K03575	ccq:N149_0140
ko:K01735	ccq:N149_0941
ko:K09944	ccq:N149_0942
ko:K00773	ccq:N149_0943
ko:K01996	ccq:N149_0949
ko:K01995	ccq:N149_0950
ko:K01998	ccq:N149_0951
ko:K01997	ccq:N149_0952
ko:K01999	ccq:N149_0953
ko:K01999	ccq:N149_0954
ko:K00133	ccq:N149_0958
ko:K09860	ccq:N149_0961
ko:K02469	ccq:N149_0962
ko:K02242	ccq:N149_0963
ko:K03596	ccq:N149_0965
ko:K03686	ccq:N149_0969
ko:K01959	ccq:N149_0972
ko:K03588	ccq:N149_0973
ko:K02563	ccq:N149_0974
ko:K03449	ccq:N149_0975
ko:K00788	ccq:N149_0978
ko:K03150	ccq:N149_0979
ko:K03149	ccq:N149_0980
ko:K03148	ccq:N149_0981
ko:K03154	ccq:N149_0982
ko:K01439	ccq:N149_0984
ko:K06895	ccq:N149_0985
ko:K00014	ccq:N149_0402
ko:K13292	ccq:N149_0404
ko:K00246	ccq:N149_0405
ko:K00244	ccq:N149_0406
ko:K00245	ccq:N149_0407
ko:K07126	ccq:N149_0410
ko:K03406	ccq:N149_0423
ko:K01925	ccq:N149_0430
ko:K01000	ccq:N149_0431
ko:K15633	ccq:N149_0432
ko:K00059	ccq:N149_0433
ko:K03707	ccq:N149_0435
ko:K02078	ccq:N149_0436
ko:K09458	ccq:N149_0437
ko:K01962	ccq:N149_0438
ko:K16089	ccq:N149_0443
ko:K08077	ccq:N149_0444
