ko:K01719	cpsn:B712_0252
ko:K00784	cpsn:B712_0351
ko:K02806	cpsn:B712_0378
ko:K02806	cpsn:B712_0379
ko:K00939	cpsn:B712_0584
ko:K01409	cpsn:B712_0591
ko:K03177	cpsn:B712_0507
ko:K02342	cpsn:B712_0416
ko:K00088	cpsn:B712_0618
ko:K02049	cpsn:B712_0635
ko:K02035	cpsn:B712_0644
ko:K02035	cpsn:B712_0645
ko:K02035	cpsn:B712_0646
ko:K15582	cpsn:B712_0648
ko:K10823	cpsn:B712_0649
ko:K15583	cpsn:B712_0650
ko:K06889	cpsn:B712_0654
ko:K06889	cpsn:B712_0660
ko:K02124	cpsn:B712_0728
ko:K02123	cpsn:B712_0729
ko:K02120	cpsn:B712_0730
ko:K02118	cpsn:B712_0731
ko:K02117	cpsn:B712_0732
ko:K02121	cpsn:B712_0734
ko:K00616	cpsn:B712_0737
ko:K00652	cpsn:B712_0770
ko:K00970	cpsn:B712_0847
ko:K01408	cpsn:B712_0871
ko:K07117	cpsn:B712_0954
ko:K06910	cpsn:B712_0955
ko:K00972	cpsn:B712_0978
ko:K01596	cpsn:B712_0983
ko:K00970	cpsn:B712_0991
ko:K07258	cpsn:B712_0079
ko:K02342	cpsn:B712_0098
ko:K01985	cpsn:B712_0945
ko:K02067	cpsn:B712_0675
ko:K11709	cpsn:B712_0484
ko:K11708	cpsn:B712_0483
ko:K11710	cpsn:B712_0482
ko:K14226	cpsn:B712_0949
ko:K14233	cpsn:B712_0822
ko:K14232	cpsn:B712_0469
ko:K14234	cpsn:B712_0047
ko:K03559	cpsn:B712_1044
ko:K14219	cpsn:B712_0026
ko:K01834	cpsn:B712_0970
ko:K11645	cpsn:B712_0545
ko:K09810	cpsn:B712_0579
ko:K14234	cpsn:B712_0571
ko:K14223	cpsn:B712_0880
ko:K14220	cpsn:B712_0693
ko:K14227	cpsn:B712_0636
ko:K02028	cpsn:B712_0594
ko:K14233	cpsn:B712_0231
ko:K01980	cpsn:B712_0946
ko:K14224	cpsn:B712_0052
ko:K17103	cpsn:B712_0835
ko:K14219	cpsn:B712_0177
ko:K04084	cpsn:B712_1042
ko:K14218	cpsn:B712_0005
ko:K14218	cpsn:B712_0637
ko:K14229	cpsn:B712_0051
ko:K14225	cpsn:B712_0057
ko:K14228	cpsn:B712_0093
ko:K14228	cpsn:B712_0132
ko:K14228	cpsn:B712_0182
ko:K14228	cpsn:B712_0172
ko:K14228	cpsn:B712_0790
ko:K14233	cpsn:B712_0140
ko:K14233	cpsn:B712_0333
ko:K14219	cpsn:B712_0409
ko:K14219	cpsn:B712_1051
ko:K14231	cpsn:B712_0225
