ko:K14220	tpp:TPASS_t0024
ko:K14234	tpp:TPASS_t0013
ko:K14230	tpp:TPASS_t0037
ko:K14225	tpp:TPASS_t0023
ko:K14233	tpp:TPASS_t0004
ko:K14233	tpp:TPASS_t0001
ko:K14233	tpp:TPASS_t0002
ko:K14218	tpp:TPASS_t0045
ko:K11189	tpp:TPASS_0589
ko:K07335	tpp:TPASS_0319
ko:K13626	tpp:TPASS_0658
ko:K14219	tpp:TPASS_t0030
ko:K14236	tpp:TPASS_t0020
ko:K14228	tpp:TPASS_t0022
ko:K14219	tpp:TPASS_t0003
ko:K01977	tpp:TPASS_r0004
ko:K01977	tpp:TPASS_r0001
ko:K14222	tpp:TPASS_t0025
ko:K00868	tpp:TPASS_0115
ko:K14237	tpp:TPASS_t0036
ko:K14233	tpp:TPASS_t0005
ko:K14231	tpp:TPASS_t0033
ko:K14223	tpp:TPASS_t0006
ko:K14235	tpp:TPASS_t0014
ko:K14218	tpp:TPASS_t0041
ko:K01980	tpp:TPASS_r0002
ko:K01980	tpp:TPASS_r0005
ko:K14218	tpp:TPASS_t0015
ko:K14232	tpp:TPASS_t0034
ko:K14228	tpp:TPASS_t0010
ko:K09808	tpp:TPASS_0580
ko:K14224	tpp:TPASS_t0007
ko:K14224	tpp:TPASS_t0008
ko:K14229	tpp:TPASS_t0039
ko:K14230	tpp:TPASS_t0011
ko:K14219	tpp:TPASS_t0031
ko:K14226	tpp:TPASS_t0032
ko:K14223	tpp:TPASS_t0018
ko:K14219	tpp:TPASS_t0026
ko:K14219	tpp:TPASS_t0035
ko:K14232	tpp:TPASS_t0038
ko:K14234	tpp:TPASS_t0042
ko:K14228	tpp:TPASS_t0044
ko:K14227	tpp:TPASS_t0012
ko:K14225	tpp:TPASS_t0017
ko:K14234	tpp:TPASS_t0019
ko:K14229	tpp:TPASS_t0021
ko:K14232	tpp:TPASS_t0027
ko:K14230	tpp:TPASS_t0029
ko:K14228	tpp:TPASS_t0040
ko:K14237	tpp:TPASS_t0043
ko:K03324	tpp:TPASS_0771
ko:K14221	tpp:TPASS_t0028
ko:K14237	tpp:TPASS_t0009
ko:K03060	tpp:TPASS_0701
ko:K14228	tpp:TPASS_t0016
ko:K02428	tpp:TPASS_0438
ko:K00970	tpp:TPASS_0596
ko:K00850	tpp:TPASS_0108
ko:K16783	tpp:TPASS_0226
ko:K16784	tpp:TPASS_0227
ko:K07260	tpp:TPASS_0221
ko:K01835	tpp:TPASS_0642
ko:K07091	tpp:TPASS_0884
ko:K11720	tpp:TPASS_0883
ko:K01990	tpp:TPASS_0881
ko:K01985	tpp:TPASS_r0006
ko:K01985	tpp:TPASS_r0003
ko:K17686	tpp:TPASS_1036
ko:K06881	tpp:TPASS_0436
ko:K18707	tpp:TPASS_0269
ko:K18682	tpp:TPASS_1018
ko:K00849	tpp:TPASS_0418
ko:K03526	tpp:TPASS_0446
ko:K11751	tpp:TPASS_0104
ko:K02027	tpp:TPASS_0737
ko:K21929	tpp:TPASS_0229
