ko:K03154	nmq:NMBM04240196_2012
ko:K03149	nmq:NMBM04240196_2013
ko:K01491	nmq:NMBM04240196_2020
ko:K00133	nmq:NMBM04240196_2022
ko:K01142	nmq:NMBM04240196_2025
ko:K01883	nmq:NMBM04240196_2026
ko:K03979	nmq:NMBM04240196_2028
ko:K06204	nmq:NMBM04240196_0059
ko:K02237	nmq:NMBM04240196_0065
ko:K03686	nmq:NMBM04240196_0066
ko:K01790	nmq:NMBM04240196_0068
ko:K00973	nmq:NMBM04240196_0069
ko:K06959	nmq:NMBM04240196_0074
ko:K09689	nmq:NMBM04240196_0075
ko:K09688	nmq:NMBM04240196_0076
ko:K10107	nmq:NMBM04240196_0077
ko:K01991	nmq:NMBM04240196_0078
ko:K01790	nmq:NMBM04240196_0090
ko:K07266	nmq:NMBM04240196_0091
ko:K07265	nmq:NMBM04240196_0092
ko:K03312	nmq:NMBM04240196_0094
ko:K06076	nmq:NMBM04240196_0097
ko:K00873	nmq:NMBM04240196_0098
ko:K03500	nmq:NMBM04240196_0856
ko:K09977	nmq:NMBM04240196_0858
ko:K00382	nmq:NMBM04240196_0863
ko:K00627	nmq:NMBM04240196_0864
ko:K00163	nmq:NMBM04240196_0865
ko:K01881	nmq:NMBM04240196_0866
ko:K07447	nmq:NMBM04240196_0868
ko:K07735	nmq:NMBM04240196_0869
ko:K05805	nmq:NMBM04240196_0870
ko:K03797	nmq:NMBM04240196_0872
ko:K03702	nmq:NMBM04240196_0873
ko:K03439	nmq:NMBM04240196_0875
ko:K03703	nmq:NMBM04240196_0877
ko:K00384	nmq:NMBM04240196_0879
ko:K02990	nmq:NMBM04240196_0880
ko:K02686	nmq:NMBM04240196_0881
ko:K02963	nmq:NMBM04240196_0882
ko:K02939	nmq:NMBM04240196_0883
ko:K03466	nmq:NMBM04240196_0889
ko:K03545	nmq:NMBM04240196_0890
ko:K01358	nmq:NMBM04240196_0891
ko:K02656	nmq:NMBM04240196_0893
ko:K06941	nmq:NMBM04240196_0894
ko:K00940	nmq:NMBM04240196_0895
ko:K06916	nmq:NMBM04240196_0896
ko:K01070	nmq:NMBM04240196_0897
ko:K05788	nmq:NMBM04240196_0900
ko:K02945	nmq:NMBM04240196_0901
ko:K00945	nmq:NMBM04240196_0902
ko:K08987	nmq:NMBM04240196_1638
ko:K01737	nmq:NMBM04240196_1639
ko:K06920	nmq:NMBM04240196_1641
ko:K07058	nmq:NMBM04240196_1643
ko:K15125	nmq:NMBM04240196_1663
ko:K15125	nmq:NMBM04240196_1667
ko:K07091	nmq:NMBM04240196_0659
ko:K01255	nmq:NMBM04240196_0660
ko:K02339	nmq:NMBM04240196_0661
ko:K11175	nmq:NMBM04240196_0663
ko:K07397	nmq:NMBM04240196_0665
ko:K02444	nmq:NMBM04240196_0668
ko:K01886	nmq:NMBM04240196_0669
ko:K01920	nmq:NMBM04240196_0670
ko:K00901	nmq:NMBM04240196_0671
ko:K00566	nmq:NMBM04240196_0673
ko:K01937	nmq:NMBM04240196_0675
ko:K03086	nmq:NMBM04240196_0680
ko:K03070	nmq:NMBM04240196_0682
ko:K03664	nmq:NMBM04240196_0692
ko:K03775	nmq:NMBM04240196_0698
