ko:K00059	banr:A16R_40430
ko:K00645	banr:A16R_40440
ko:K03655	banr:A16R_40480
ko:K07030	banr:A16R_40490
ko:K02902	banr:A16R_40510
ko:K00949	banr:A16R_40520
ko:K01783	banr:A16R_40530
ko:K06941	banr:A16R_40580
ko:K03500	banr:A16R_40590
ko:K01462	banr:A16R_40620
ko:K04066	banr:A16R_40630
ko:K13038	banr:A16R_40640
ko:K03060	banr:A16R_40650
ko:K00942	banr:A16R_40660
ko:K09777	banr:A16R_40670
ko:K01537	banr:A16R_40690
ko:K00762	banr:A16R_40780
ko:K01591	banr:A16R_40790
ko:K17828	banr:A16R_40800
ko:K02823	banr:A16R_40810
ko:K01955	banr:A16R_40820
ko:K01956	banr:A16R_40830
ko:K01465	banr:A16R_40840
ko:K00609	banr:A16R_40850
ko:K02825	banr:A16R_40880
ko:K06180	banr:A16R_40890
ko:K03101	banr:A16R_40900
ko:K01870	banr:A16R_40920
ko:K04074	banr:A16R_40930
ko:K02887	banr:A16R_48740
ko:K02916	banr:A16R_48750
ko:K02520	banr:A16R_48760
ko:K01868	banr:A16R_48770
ko:K11144	banr:A16R_48790
ko:K03346	banr:A16R_48800
ko:K07738	banr:A16R_48810
ko:K01611	banr:A16R_48820
ko:K00134	banr:A16R_48840
ko:K00859	banr:A16R_48850
ko:K10563	banr:A16R_48870
ko:K07636	banr:A16R_48890
ko:K07658	banr:A16R_48900
ko:K00024	banr:A16R_48940
ko:K00031	banr:A16R_48950
ko:K01647	banr:A16R_48960
ko:K00873	banr:A16R_49000
ko:K00850	banr:A16R_49010
ko:K01962	banr:A16R_49020
ko:K01963	banr:A16R_49030
ko:K00027	banr:A16R_49050
ko:K02337	banr:A16R_49060
ko:K16869	banr:A16R_57150
ko:K00625	banr:A16R_57160
ko:K01449	banr:A16R_57190
ko:K06305	banr:A16R_57200
ko:K03648	banr:A16R_57280
ko:K00003	banr:A16R_57340
ko:K00651	banr:A16R_57350
ko:K01740	banr:A16R_57360
ko:K01560	banr:A16R_57380
ko:K01118	banr:A16R_57400
ko:K00868	banr:A16R_57440
ko:K06200	banr:A16R_57470
ko:K08369	banr:A16R_57500
ko:K05946	banr:A16R_57510
ko:K03300	banr:A16R_06280
ko:K02443	banr:A16R_06320
ko:K05816	banr:A16R_06330
ko:K05814	banr:A16R_06340
ko:K05815	banr:A16R_06350
ko:K05813	banr:A16R_06360
ko:K03406	banr:A16R_06420
ko:K11614	banr:A16R_06430
ko:K11616	banr:A16R_06450
ko:K00027	banr:A16R_06460
ko:K00375	banr:A16R_06490
ko:K02379	banr:A16R_06550
ko:K00123	banr:A16R_06560
ko:K01126	banr:A16R_06590
ko:K00259	banr:A16R_06600
ko:K03294	banr:A16R_06610
ko:K01534	banr:A16R_06630
ko:K00763	banr:A16R_06640
ko:K11535	banr:A16R_06730
ko:K01744	banr:A16R_06760
ko:K03303	banr:A16R_06770
ko:K06425	banr:A16R_06790
ko:K00958	banr:A16R_15040
ko:K00860	banr:A16R_15050
ko:K00366	banr:A16R_15060
ko:K02303	banr:A16R_15080
ko:K02304	banr:A16R_15100
ko:K03308	banr:A16R_15110
ko:K11102	banr:A16R_15130
ko:K11619	banr:A16R_15160
ko:K11622	banr:A16R_15180
ko:K11617	banr:A16R_15190
ko:K11618	banr:A16R_15200
ko:K03311	banr:A16R_15220
ko:K05916	banr:A16R_15290
ko:K07090	banr:A16R_15320
ko:K03306	banr:A16R_15330
ko:K07220	banr:A16R_15340
ko:K03784	banr:A16R_15440
ko:K14205	banr:A16R_15470
ko:K04564	banr:A16R_15500
ko:K06373	banr:A16R_15520
ko:K06374	banr:A16R_15530
ko:K06178	banr:A16R_15540
ko:K07399	banr:A16R_15560
ko:K07533	banr:A16R_23980
ko:K06304	banr:A16R_24020
ko:K01647	banr:A16R_24090
ko:K01720	banr:A16R_24100
ko:K00140	banr:A16R_24150
ko:K03547	banr:A16R_24200
ko:K08177	banr:A16R_24270
ko:K00216	banr:A16R_24280
ko:K02361	banr:A16R_24290
ko:K02363	banr:A16R_24300
ko:K01252	banr:A16R_24310
ko:K04780	banr:A16R_24320
ko:K06133	banr:A16R_24350
ko:K03530	banr:A16R_24370
ko:K03310	banr:A16R_24410
ko:K06182	banr:A16R_24450
ko:K01669	banr:A16R_32500
ko:K05577	banr:A16R_32540
ko:K02548	banr:A16R_32570
ko:K03325	banr:A16R_32670
ko:K04045	banr:A16R_32720
ko:K01759	banr:A16R_32780
ko:K16263	banr:A16R_32830
ko:K14338	banr:A16R_32890
ko:K02221	banr:A16R_40950
ko:K09772	banr:A16R_40960
ko:K06997	banr:A16R_40970
ko:K05810	banr:A16R_40980
ko:K03091	banr:A16R_41000
ko:K03091	banr:A16R_41010
ko:K06383	banr:A16R_41020
ko:K03531	banr:A16R_41030
ko:K03590	banr:A16R_41040
ko:K03589	banr:A16R_41050
ko:K00075	banr:A16R_41060
ko:K03588	banr:A16R_41090
ko:K01925	banr:A16R_41100
ko:K01000	banr:A16R_41110
ko:K01928	banr:A16R_41120
ko:K08384	banr:A16R_41130
ko:K08724	banr:A16R_41140
ko:K03438	banr:A16R_41160
ko:K00077	banr:A16R_41180
ko:K02911	banr:A16R_41210
ko:K07040	banr:A16R_41220
ko:K07729	banr:A16R_49270
ko:K00259	banr:A16R_49290
ko:K00059	banr:A16R_49300
ko:K01755	banr:A16R_49350
ko:K01940	banr:A16R_49360
ko:K00925	banr:A16R_49440
ko:K11065	banr:A16R_49460
ko:K00858	banr:A16R_49490
ko:K04750	banr:A16R_49510
ko:K01895	banr:A16R_49520
ko:K03151	banr:A16R_49540
ko:K04487	banr:A16R_49550
ko:K06286	banr:A16R_49570
ko:K01761	banr:A16R_49630
ko:K02986	banr:A16R_49640
ko:K01866	banr:A16R_49670
ko:K03088	banr:A16R_49690
ko:K01895	banr:A16R_49710
ko:K04766	banr:A16R_49720
ko:K04767	banr:A16R_49730
ko:K04768	banr:A16R_49740
ko:K03810	banr:A16R_49790
ko:K03282	banr:A16R_49800
ko:K12267	banr:A16R_57700
ko:K05339	banr:A16R_57730
ko:K05338	banr:A16R_57740
ko:K07704	banr:A16R_57760
ko:K00491	banr:A16R_57790
ko:K04564	banr:A16R_57800
ko:K01784	banr:A16R_57840
ko:K00364	banr:A16R_57910
ko:K00783	banr:A16R_57940
ko:K07652	banr:A16R_58000
ko:K07668	banr:A16R_58010
ko:K01939	banr:A16R_58060
ko:K02939	banr:A16R_58080
ko:K02963	banr:A16R_58110
ko:K02990	banr:A16R_58130
ko:K06942	banr:A16R_58140
ko:K03305	banr:A16R_06800
ko:K02016	banr:A16R_06810
ko:K02015	banr:A16R_06820
ko:K02015	banr:A16R_06830
ko:K02013	banr:A16R_06840
ko:K00639	banr:A16R_06860
ko:K03574	banr:A16R_06880
ko:K04748	banr:A16R_06900
ko:K06131	banr:A16R_06910
ko:K03758	banr:A16R_06950
ko:K03486	banr:A16R_06960
ko:K02818	banr:A16R_06970
ko:K02819	banr:A16R_06970
ko:K01226	banr:A16R_06980
ko:K06295	banr:A16R_07020
ko:K07052	banr:A16R_07030
ko:K03310	banr:A16R_07050
ko:K10041	banr:A16R_07060
ko:K10039	banr:A16R_07070
ko:K10040	banr:A16R_07080
ko:K10040	banr:A16R_07090
ko:K02205	banr:A16R_07100
ko:K03088	banr:A16R_07130
ko:K03321	banr:A16R_07210
ko:K02035	banr:A16R_07240
ko:K02034	banr:A16R_07250
ko:K02033	banr:A16R_07260
ko:K02445	banr:A16R_07290
ko:K07775	banr:A16R_15580
ko:K07651	banr:A16R_15590
ko:K05337	banr:A16R_15640
ko:K03654	banr:A16R_15660
ko:K07052	banr:A16R_15670
ko:K16511	banr:A16R_15720
ko:K00260	banr:A16R_15730
ko:K00384	banr:A16R_15770
ko:K01424	banr:A16R_15780
ko:K00945	banr:A16R_15790
ko:K02945	banr:A16R_15800
ko:K01823	banr:A16R_15810
ko:K05739	banr:A16R_15840
ko:K03977	banr:A16R_15860
ko:K00057	banr:A16R_15870
ko:K06398	banr:A16R_15910
ko:K03530	banr:A16R_15920
ko:K01495	banr:A16R_15930
ko:K00805	banr:A16R_15940
ko:K03183	banr:A16R_15950
