ko:K01181	xoy:AZ54_01780
ko:K01181	xoy:AZ54_01785
ko:K01812	xoy:AZ54_01790
ko:K00040	xoy:AZ54_01810
ko:K05349	xoy:AZ54_01815
ko:K01198	xoy:AZ54_01820
ko:K01209	xoy:AZ54_01820
ko:K08323	xoy:AZ54_01825
ko:K05970	xoy:AZ54_01830
ko:K01235	xoy:AZ54_01835
ko:K02529	xoy:AZ54_01845
ko:K01805	xoy:AZ54_01850
ko:K14058	xoy:AZ54_01855
ko:K03554	xoy:AZ54_01860
ko:K07043	xoy:AZ54_01865
ko:K01772	xoy:AZ54_01880
ko:K01154	xoy:AZ54_06470
ko:K03427	xoy:AZ54_06475
ko:K01153	xoy:AZ54_06485
ko:K07448	xoy:AZ54_06500
ko:K03427	xoy:AZ54_06505
ko:K01153	xoy:AZ54_06520
ko:K07341	xoy:AZ54_06580
ko:K01356	xoy:AZ54_06590
ko:K14161	xoy:AZ54_06600
ko:K14162	xoy:AZ54_06610
ko:K09471	xoy:AZ54_10170
ko:K01915	xoy:AZ54_10175
ko:K07010	xoy:AZ54_10185
ko:K01915	xoy:AZ54_10190
ko:K03543	xoy:AZ54_10200
ko:K03446	xoy:AZ54_10205
ko:K11076	xoy:AZ54_10215
ko:K11075	xoy:AZ54_10220
ko:K00135	xoy:AZ54_10235
ko:K03284	xoy:AZ54_10240
ko:K06189	xoy:AZ54_10250
ko:K07042	xoy:AZ54_10260
