ko:K00337	xcf:J172_02868
ko:K00336	xcf:J172_02869
ko:K00335	xcf:J172_02870
ko:K00334	xcf:J172_02871
ko:K00333	xcf:J172_02872
ko:K00332	xcf:J172_02873
ko:K00331	xcf:J172_02874
ko:K00330	xcf:J172_02875
ko:K03075	xcf:J172_02877
ko:K01803	xcf:J172_02878
ko:K07124	xcf:J172_02879
ko:K06886	xcf:J172_02880
ko:K03431	xcf:J172_02885
ko:K01963	xcf:J172_02886
ko:K01695	xcf:J172_02887
ko:K01696	xcf:J172_02889
ko:K01817	xcf:J172_02891
ko:K06173	xcf:J172_02892
ko:K06996	xcf:J172_02894
ko:K08086	xcf:J172_02895
ko:K00133	xcf:J172_02896
ko:K00090	xcf:J172_02897
ko:K01736	xcf:J172_02898
ko:K07320	xcf:J172_02899
ko:K07152	xcf:J172_02900
ko:K01613	xcf:J172_02901
ko:K08307	xcf:J172_02902
ko:K06915	xcf:J172_02903
ko:K02453	xcf:J172_03709
ko:K02463	xcf:J172_03710
ko:K02462	xcf:J172_03711
ko:K02461	xcf:J172_03712
ko:K02460	xcf:J172_03713
ko:K02459	xcf:J172_03714
ko:K02458	xcf:J172_03715
ko:K02457	xcf:J172_03716
ko:K02456	xcf:J172_03717
ko:K02455	xcf:J172_03718
ko:K02454	xcf:J172_03719
ko:K14645	xcf:J172_03720
ko:K14645	xcf:J172_03722
ko:K01952	xcf:J172_03724
ko:K03981	xcf:J172_03725
ko:K04763	xcf:J172_03726
ko:K11720	xcf:J172_03729
ko:K07091	xcf:J172_03730
ko:K01255	xcf:J172_03731
ko:K02339	xcf:J172_03733
ko:K01873	xcf:J172_03734
ko:K02014	xcf:J172_03735
ko:K08309	xcf:J172_03736
ko:K01728	xcf:J172_03737
ko:K03789	xcf:J172_03738
ko:K17103	xcf:J172_03740
ko:K01881	xcf:J172_03742
ko:K03746	xcf:J172_03743
ko:K02066	xcf:J172_03745
ko:K02065	xcf:J172_03746
ko:K02067	xcf:J172_03747
ko:K18480	xcf:J172_03748
ko:K00311	xcf:J172_03750
ko:K01029	xcf:J172_03752
ko:K01028	xcf:J172_03753
ko:K15778	xcf:J172_03754
ko:K16011	xcf:J172_03755
ko:K00012	xcf:J172_03756
ko:K00067	xcf:J172_03757
ko:K01790	xcf:J172_03758
ko:K00973	xcf:J172_03759
ko:K01710	xcf:J172_03760
ko:K07039	xcf:J172_00027
ko:K03496	xcf:J172_00052
ko:K07171	xcf:J172_00066
ko:K03194	xcf:J172_00070
ko:K03196	xcf:J172_00071
ko:K03204	xcf:J172_00073
ko:K03203	xcf:J172_00074
ko:K03201	xcf:J172_00075
ko:K03230	xcf:J172_00519
ko:K03229	xcf:J172_00520
ko:K18373	xcf:J172_00521
ko:K18374	xcf:J172_00522
ko:K03222	xcf:J172_00523
ko:K03223	xcf:J172_00525
ko:K03224	xcf:J172_00526
ko:K03228	xcf:J172_00528
ko:K03219	xcf:J172_00529
ko:K01002	xcf:J172_00535
ko:K09781	xcf:J172_00537
ko:K00703	xcf:J172_00539
ko:K00700	xcf:J172_00540
ko:K01236	xcf:J172_00541
ko:K00705	xcf:J172_00542
ko:K06044	xcf:J172_00543
ko:K00059	xcf:J172_00547
ko:K00627	xcf:J172_00558
ko:K00162	xcf:J172_00560
ko:K00161	xcf:J172_00561
ko:K07004	xcf:J172_00562
ko:K00453	xcf:J172_00563
ko:K03305	xcf:J172_00564
ko:K00457	xcf:J172_00567
ko:K00451	xcf:J172_00568
ko:K05564	xcf:J172_00571
ko:K02300	xcf:J172_01394
ko:K04485	xcf:J172_01396
ko:K04079	xcf:J172_01400
ko:K17763	xcf:J172_01402
ko:K17762	xcf:J172_01403
ko:K17752	xcf:J172_01404
ko:K01198	xcf:J172_01408
ko:K01209	xcf:J172_01408
ko:K02014	xcf:J172_01409
ko:K03672	xcf:J172_01410
ko:K03412	xcf:J172_01413
ko:K00575	xcf:J172_01414
ko:K01209	xcf:J172_01419
ko:K01785	xcf:J172_01420
ko:K03106	xcf:J172_01422
ko:K00459	xcf:J172_01423
ko:K02959	xcf:J172_01425
ko:K02860	xcf:J172_01426
ko:K00554	xcf:J172_01427
ko:K02884	xcf:J172_01428
ko:K00799	xcf:J172_01432
ko:K04762	xcf:J172_01433
ko:K03782	xcf:J172_01434
ko:K03555	xcf:J172_01436
ko:K01206	xcf:J172_01441
ko:K01190	xcf:J172_01443
ko:K01224	xcf:J172_01444
ko:K07007	xcf:J172_02257
ko:K03772	xcf:J172_02258
ko:K07146	xcf:J172_02260
ko:K08300	xcf:J172_02262
ko:K06179	xcf:J172_02263
ko:K07238	xcf:J172_02265
ko:K03832	xcf:J172_02266
ko:K01724	xcf:J172_02267
ko:K07400	xcf:J172_02268
ko:K07483	xcf:J172_02284
ko:K02477	xcf:J172_02292
ko:K15727	xcf:J172_02296
ko:K15726	xcf:J172_02297
ko:K09702	xcf:J172_02303
ko:K02303	xcf:J172_02307
ko:K02304	xcf:J172_02309
ko:K16090	xcf:J172_03117
ko:K07126	xcf:J172_03119
ko:K09939	xcf:J172_03120
ko:K03734	xcf:J172_03123
ko:K00380	xcf:J172_03124
ko:K09975	xcf:J172_03126
ko:K02237	xcf:J172_03127
ko:K07102	xcf:J172_03130
ko:K10763	xcf:J172_03132
ko:K09938	xcf:J172_03134
ko:K01933	xcf:J172_03135
ko:K11175	xcf:J172_03137
ko:K00790	xcf:J172_03141
ko:K06041	xcf:J172_03143
