ko:K00971	ahd:AI20_04950
ko:K01840	ahd:AI20_04955
ko:K00067	ahd:AI20_04965
ko:K13009	ahd:AI20_04975
ko:K09915	ahd:AI20_04980
ko:K05526	ahd:AI20_05000
ko:K00161	ahd:AI20_05005
ko:K00162	ahd:AI20_05010
ko:K00627	ahd:AI20_05015
ko:K03704	ahd:AI20_05020
ko:K13893	ahd:AI20_05045
ko:K15268	ahd:AI20_05050
ko:K00656	ahd:AI20_05060
ko:K04069	ahd:AI20_05065
ko:K08313	ahd:AI20_05070
ko:K06183	ahd:AI20_05085
ko:K07095	ahd:AI20_05100
ko:K02399	ahd:AI20_05105
ko:K02398	ahd:AI20_05110
ko:K02386	ahd:AI20_05115
ko:K03415	ahd:AI20_05120
ko:K00241	ahd:AI20_09555
ko:K01647	ahd:AI20_09560
ko:K00647	ahd:AI20_09575
ko:K15461	ahd:AI20_09580
ko:K03326	ahd:AI20_09590
ko:K01081	ahd:AI20_09595
ko:K07043	ahd:AI20_09605
ko:K12149	ahd:AI20_09615
ko:K02909	ahd:AI20_09620
ko:K02919	ahd:AI20_09625
ko:K06911	ahd:AI20_09630
ko:K01141	ahd:AI20_09640
ko:K07407	ahd:AI20_09650
ko:K06518	ahd:AI20_09655
ko:K01489	ahd:AI20_09665
ko:K03721	ahd:AI20_09705
ko:K01724	ahd:AI20_09710
ko:K00500	ahd:AI20_09715
ko:K08990	ahd:AI20_09720
ko:K06918	ahd:AI20_09725
ko:K03970	ahd:AI20_09735
ko:K03969	ahd:AI20_09740
ko:K03974	ahd:AI20_09745
ko:K06169	ahd:AI20_09775
ko:K00764	ahd:AI20_09780
ko:K03558	ahd:AI20_09785
ko:K01875	ahd:AI20_09790
ko:K07478	ahd:AI20_09795
ko:K03634	ahd:AI20_09800
ko:K03466	ahd:AI20_09805
ko:K03719	ahd:AI20_09810
ko:K00384	ahd:AI20_09815
ko:K06077	ahd:AI20_09825
ko:K00684	ahd:AI20_09830
ko:K03771	ahd:AI20_14525
ko:K00097	ahd:AI20_14530
ko:K02528	ahd:AI20_14535
ko:K06195	ahd:AI20_14540
ko:K01525	ahd:AI20_14545
ko:K00666	ahd:AI20_14575
ko:K03979	ahd:AI20_14585
