ko:K02238	ssuy:YB51_4040
ko:K06193	ssuy:YB51_4555
ko:K02825	ssuy:YB51_4565
ko:K00609	ssuy:YB51_4570
ko:K01956	ssuy:YB51_4575
ko:K01955	ssuy:YB51_4580
ko:K01955	ssuy:YB51_4585
ko:K01304	ssuy:YB51_4595
ko:K02959	ssuy:YB51_4605
ko:K06960	ssuy:YB51_4610
ko:K00003	ssuy:YB51_4630
ko:K00872	ssuy:YB51_4635
ko:K00872	ssuy:YB51_4640
ko:K00075	ssuy:YB51_4650
ko:K11072	ssuy:YB51_4655
ko:K11071	ssuy:YB51_4660
ko:K11070	ssuy:YB51_4665
ko:K11069	ssuy:YB51_4670
ko:K01361	ssuy:YB51_4690
ko:K10773	ssuy:YB51_4700
ko:K00364	ssuy:YB51_4705
ko:K03327	ssuy:YB51_4710
ko:K02860	ssuy:YB51_4715
ko:K00554	ssuy:YB51_4720
ko:K00817	ssuy:YB51_4725
ko:K03436	ssuy:YB51_4735
ko:K00882	ssuy:YB51_4740
ko:K02768	ssuy:YB51_4745
ko:K02769	ssuy:YB51_4745
ko:K02770	ssuy:YB51_4745
ko:K00215	ssuy:YB51_4760
ko:K00974	ssuy:YB51_4765
ko:K15738	ssuy:YB51_4770
ko:K00845	ssuy:YB51_4780
ko:K03544	ssuy:YB51_4805
ko:K03978	ssuy:YB51_4810
ko:K00940	ssuy:YB51_4815
ko:K01754	ssuy:YB51_8555
ko:K00053	ssuy:YB51_8560
ko:K01653	ssuy:YB51_8565
ko:K01652	ssuy:YB51_8570
ko:K01687	ssuy:YB51_8595
ko:K03655	ssuy:YB51_8630
ko:K02996	ssuy:YB51_8670
ko:K02871	ssuy:YB51_8675
ko:K06962	ssuy:YB51_8690
ko:K03218	ssuy:YB51_8695
ko:K10112	ssuy:YB51_8710
ko:K11145	ssuy:YB51_8720
ko:K01883	ssuy:YB51_8725
ko:K00640	ssuy:YB51_8735
ko:K00962	ssuy:YB51_8740
ko:K02956	ssuy:YB51_8750
ko:K01990	ssuy:YB51_8755
ko:K02824	ssuy:YB51_8780
ko:K06183	ssuy:YB51_8800
ko:K07009	ssuy:YB51_6585
ko:K00563	ssuy:YB51_6590
ko:K06158	ssuy:YB51_6600
ko:K03930	ssuy:YB51_6615
ko:K12574	ssuy:YB51_6620
ko:K05833	ssuy:YB51_6635
ko:K05832	ssuy:YB51_6640
ko:K01989	ssuy:YB51_6645
ko:K01223	ssuy:YB51_6650
ko:K02755	ssuy:YB51_6655
ko:K02756	ssuy:YB51_6655
ko:K02757	ssuy:YB51_6655
ko:K03488	ssuy:YB51_6660
ko:K01575	ssuy:YB51_6670
ko:K07404	ssuy:YB51_6685
ko:K07025	ssuy:YB51_6695
ko:K01689	ssuy:YB51_6710
ko:K00865	ssuy:YB51_6725
ko:K01091	ssuy:YB51_6730
ko:K01079	ssuy:YB51_6735
ko:K06286	ssuy:YB51_6740
ko:K02470	ssuy:YB51_6745
ko:K03152	ssuy:YB51_6750
ko:K05837	ssuy:YB51_6755
ko:K02909	ssuy:YB51_6770
ko:K03734	ssuy:YB51_6775
ko:K02954	ssuy:YB51_6790
ko:K04516	ssuy:YB51_6795
ko:K01081	ssuy:YB51_6805
ko:K04564	ssuy:YB51_6810
ko:K02340	ssuy:YB51_6815
ko:K09765	ssuy:YB51_6825
ko:K04767	ssuy:YB51_4050
ko:K00943	ssuy:YB51_4070
ko:K02341	ssuy:YB51_4075
ko:K07056	ssuy:YB51_4085
ko:K00831	ssuy:YB51_4090
ko:K00058	ssuy:YB51_4100
ko:K00567	ssuy:YB51_4105
