ko:K02819	sauw:SAI5S5_1003470
ko:K01226	sauw:SAI5S5_1003480
ko:K03486	sauw:SAI5S5_1003490
ko:K02343	sauw:SAI5S5_1003510
ko:K06187	sauw:SAI5S5_1003520
ko:K03800	sauw:SAI5S5_1011100
ko:K00283	sauw:SAI5S5_1011110
ko:K00282	sauw:SAI5S5_1011120
ko:K00605	sauw:SAI5S5_1011130
ko:K00891	sauw:SAI5S5_1011140
ko:K02244	sauw:SAI5S5_1011160
ko:K02243	sauw:SAI5S5_1011170
ko:K00845	sauw:SAI5S5_1011190
ko:K12553	sauw:SAI5S5_1011220
ko:K04564	sauw:SAI5S5_1011230
ko:K09816	sauw:SAI5S5_1011240
ko:K09817	sauw:SAI5S5_1011250
ko:K01151	sauw:SAI5S5_1011260
ko:K06967	sauw:SAI5S5_1011290
ko:K03086	sauw:SAI5S5_1011300
ko:K09773	sauw:SAI5S5_1011320
ko:K01880	sauw:SAI5S5_1011340
ko:K03584	sauw:SAI5S5_1011350
ko:K09761	sauw:SAI5S5_1011420
ko:K02687	sauw:SAI5S5_1011430
ko:K03686	sauw:SAI5S5_1011440
ko:K04043	sauw:SAI5S5_1011450
ko:K03687	sauw:SAI5S5_1011460
ko:K03705	sauw:SAI5S5_1011470
ko:K03596	sauw:SAI5S5_1011490
ko:K02340	sauw:SAI5S5_1011500
ko:K02238	sauw:SAI5S5_1011510
ko:K02237	sauw:SAI5S5_1011530
ko:K00969	sauw:SAI5S5_1011560
ko:K01641	sauw:SAI5S5_1018890
ko:K00567	sauw:SAI5S5_1018900
ko:K04086	sauw:SAI5S5_1018910
ko:K04759	sauw:SAI5S5_1018920
ko:K06994	sauw:SAI5S5_1018930
ko:K00294	sauw:SAI5S5_1018950
ko:K17686	sauw:SAI5S5_1018970
ko:K03778	sauw:SAI5S5_1018980
ko:K10209	sauw:SAI5S5_1019000
ko:K10208	sauw:SAI5S5_1019010
ko:K10211	sauw:SAI5S5_1019020
ko:K10210	sauw:SAI5S5_1019030
ko:K10212	sauw:SAI5S5_1019040
ko:K07035	sauw:SAI5S5_1019090
ko:K07045	sauw:SAI5S5_1019150
ko:K00226	sauw:SAI5S5_1019210
ko:K09765	sauw:SAI5S5_1019220
ko:K06978	sauw:SAI5S5_1019240
ko:K04763	sauw:SAI5S5_1019310
ko:K01918	sauw:SAI5S5_1019330
ko:K00606	sauw:SAI5S5_1019340
ko:K00077	sauw:SAI5S5_1019350
ko:K01575	sauw:SAI5S5_1019360
ko:K06890	sauw:SAI5S5_1005130
ko:K09705	sauw:SAI5S5_1005160
ko:K09793	sauw:SAI5S5_1005200
ko:K06966	sauw:SAI5S5_1005230
ko:K09768	sauw:SAI5S5_1005240
ko:K06153	sauw:SAI5S5_1005260
ko:K16013	sauw:SAI5S5_1005270
ko:K16012	sauw:SAI5S5_1005280
ko:K01669	sauw:SAI5S5_1005320
ko:K03436	sauw:SAI5S5_1005350
ko:K00882	sauw:SAI5S5_1005360
ko:K02768	sauw:SAI5S5_1005370
ko:K02769	sauw:SAI5S5_1005370
ko:K02770	sauw:SAI5S5_1005370
ko:K01443	sauw:SAI5S5_1005380
ko:K10681	sauw:SAI5S5_1005420
ko:K10682	sauw:SAI5S5_1005430
ko:K16937	sauw:SAI5S5_1005440
ko:K10026	sauw:SAI5S5_1005460
ko:K06920	sauw:SAI5S5_1005470
ko:K01664	sauw:SAI5S5_1005480
ko:K01665	sauw:SAI5S5_1005490
ko:K02619	sauw:SAI5S5_1005500
ko:K15738	sauw:SAI5S5_1005540
ko:K03654	sauw:SAI5S5_1005550
ko:K05847	sauw:SAI5S5_1005560
ko:K05845	sauw:SAI5S5_1005570
ko:K05846	sauw:SAI5S5_1005570
ko:K00817	sauw:SAI5S5_1005580
ko:K03305	sauw:SAI5S5_1005610
ko:K09457	sauw:SAI5S5_1005620
ko:K07052	sauw:SAI5S5_1013030
ko:K00616	sauw:SAI5S5_1013040
ko:K00789	sauw:SAI5S5_1013080
ko:K01610	sauw:SAI5S5_1013090
ko:K02549	sauw:SAI5S5_1013120
ko:K01911	sauw:SAI5S5_1013130
ko:K01154	sauw:SAI5S5_1013210
ko:K01154	sauw:SAI5S5_1013220
ko:K03427	sauw:SAI5S5_1013230
ko:K07002	sauw:SAI5S5_1013480
ko:K00231	sauw:SAI5S5_1013490
ko:K01772	sauw:SAI5S5_1013500
ko:K01462	sauw:SAI5S5_1007710
ko:K00161	sauw:SAI5S5_1007730
ko:K00162	sauw:SAI5S5_1007740
ko:K00627	sauw:SAI5S5_1007750
ko:K00382	sauw:SAI5S5_1007760
ko:K11072	sauw:SAI5S5_1007780
ko:K11071	sauw:SAI5S5_1007790
ko:K11070	sauw:SAI5S5_1007800
ko:K11069	sauw:SAI5S5_1007810
ko:K03322	sauw:SAI5S5_1007830
ko:K01092	sauw:SAI5S5_1007850
ko:K06207	sauw:SAI5S5_1007860
ko:K03588	sauw:SAI5S5_1007880
ko:K01958	sauw:SAI5S5_1007890
ko:K02259	sauw:SAI5S5_1007900
ko:K01126	sauw:SAI5S5_1007930
ko:K00954	sauw:SAI5S5_1007950
ko:K07040	sauw:SAI5S5_1007970
ko:K14193	sauw:SAI5S5_1007990
ko:K02016	sauw:SAI5S5_1008020
ko:K02015	sauw:SAI5S5_1008030
ko:K08600	sauw:SAI5S5_1008040
ko:K03437	sauw:SAI5S5_1008050
ko:K01889	sauw:SAI5S5_1008060
ko:K01890	sauw:SAI5S5_1008070
ko:K03471	sauw:SAI5S5_1008080
ko:K02347	sauw:SAI5S5_1008100
ko:K07456	sauw:SAI5S5_1008110
ko:K03703	sauw:SAI5S5_1008120
ko:K00241	sauw:SAI5S5_1008130
ko:K02108	sauw:SAI5S5_1015470
ko:K02116	sauw:SAI5S5_1015480
ko:K01791	sauw:SAI5S5_1015490
