ko:K06178	hei:C730_07560
ko:K02337	hei:C730_07565
ko:K00428	hei:C730_07570
ko:K02065	hei:C730_07590
ko:K02066	hei:C730_07595
ko:K00826	hei:C730_07605
ko:K01448	hei:C730_03975
ko:K00459	hei:C730_03980
ko:K01866	hei:C730_03985
ko:K03060	hei:C730_03995
ko:K09903	hei:C730_04000
ko:K01682	hei:C730_04010
ko:K03634	hei:C730_04035
ko:K03070	hei:C730_04040
ko:K01154	hei:C730_04060
ko:K01534	hei:C730_04065
ko:K07391	hei:C730_04070
ko:K01462	hei:C730_04075
ko:K01358	hei:C730_04080
ko:K03545	hei:C730_04085
ko:K15846	hei:C730_04095
ko:K03637	hei:C730_04100
ko:K03831	hei:C730_04105
ko:K03636	hei:C730_04115
ko:K14652	hei:C730_04130
ko:K07270	hei:C730_04135
ko:K07043	hei:C730_04140
ko:K16091	hei:C730_04145
ko:K00997	hei:C730_04150
ko:K02415	hei:C730_04155
ko:K02556	hei:C730_04185
ko:K02557	hei:C730_04190
ko:K05847	hei:C730_04205
ko:K03703	hei:C730_04215
ko:K00003	hei:C730_04220
ko:K07460	hei:C730_04225
ko:K03671	hei:C730_04230
ko:K00384	hei:C730_04235
ko:K07270	hei:C730_04240
ko:K03624	hei:C730_04445
ko:K00748	hei:C730_04450
ko:K04651	hei:C730_04460
ko:K02390	hei:C730_04465
ko:K01521	hei:C730_04470
ko:K06193	hei:C730_04475
ko:K03781	hei:C730_04490
ko:K01159	hei:C730_04500
ko:K03550	hei:C730_04535
ko:K03980	hei:C730_04545
ko:K01883	hei:C730_04550
ko:K02013	hei:C730_04565
ko:K02015	hei:C730_04570
ko:K04654	hei:C730_04615
ko:K04653	hei:C730_04620
ko:K00925	hei:C730_04645
ko:K13788	hei:C730_04650
ko:K13788	hei:C730_04665
ko:K02389	hei:C730_04675
ko:K02390	hei:C730_04680
ko:K03657	hei:C730_04695
ko:K15843	hei:C730_04700
ko:K15844	hei:C730_04705
ko:K02417	hei:C730_05330
ko:K02416	hei:C730_05335
ko:K02405	hei:C730_05340
ko:K04562	hei:C730_05350
ko:K02404	hei:C730_05355
ko:K00950	hei:C730_05360
ko:K03786	hei:C730_05370
ko:K14228	hei:C730_t08325
ko:K14228	hei:C730_t08323
ko:K14228	hei:C730_t08301
ko:K14228	hei:C730_t08281
ko:K14234	hei:C730_t08321
ko:K14236	hei:C730_t08319
ko:K14230	hei:C730_t08311
ko:K14230	hei:C730_t08295
ko:K14225	hei:C730_t08317
ko:K14235	hei:C730_t08313
ko:K14219	hei:C730_t08275
ko:K14232	hei:C730_t08283
ko:K14227	hei:C730_t08279
ko:K14220	hei:C730_t08271
ko:K12369	hei:C730_01510
ko:K14221	hei:C730_t08259
ko:K01426	hei:C730_01485
ko:K12371	hei:C730_01520
ko:K14224	hei:C730_t08257
ko:K14224	hei:C730_t08263
ko:K14237	hei:C730_t08261
ko:K14237	hei:C730_t08267
ko:K14229	hei:C730_t08265
ko:K01985	hei:C730_r08329
ko:K01985	hei:C730_r08331
ko:K14231	hei:C730_t08327
ko:K14225	hei:C730_t08299
ko:K14233	hei:C730_t08269
ko:K14233	hei:C730_t08309
ko:K14233	hei:C730_t08305
ko:K14218	hei:C730_t08277
